date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2022-06-25,W,Decision - Unanimous,3,Chris Curtis,Rodolfo Vieir,25.0,-0.3439304922809652,-0.46625098725552205,1.0893139578450217,0.3986988160950672,-1.12537510144012
2022-06-25,W,Decision - Unanimous,3,Umar Nurmagomedo,Nate Maness,25.0,-0.354112504079953,-0.2943964306487434,1.2927198657682968,-1.6446930720888016,0.5494419334843059
2022-06-25,W,Submission,3,Thiago Moise,Christos Giagos,15.08,-0.12119898417810847,-0.39579061904674284,-0.06331952038686937,-0.21497333398684748,-0.659730903389383
2022-06-25,W,KO/TKO,3,Josh Parisia,Alan Baudot,15.07,0.006076163309238269,0.006349043413119268,1.0893139578450222,1.3418447249765164,0.5757282995032991
2022-06-25,W,Decision - Unanimous,5,Mateusz Gamrot,Arman Tsarukyan,25.0,-1.2132197496195434,-0.981814657075858,0.6825021419984719,-1.3583127353839082,-1.140395882022402
2022-06-18,W,KO/TKO,3,Jeremiah Well,Court McGee,5.57,0.699725717115278,0.693767269840234,1.3605218350760548,-1.793610847175346,0.23025034611081674
2022-06-18,W,KO/TKO,3,Roman Dolidz,Kyle Daukau,5.22,-0.471205639768312,-0.5306964459830641,0.07228441822864735,-0.08542032452510996,-0.34053931601589366
2022-06-18,W,KO/TKO,3,Phil Hawes,Deron Win,20.42,0.22880767141209504,0.35005815662667666,0.6147001726907135,-0.27634054899503896,-0.2166178762120684
2022-06-18,W,KO/TKO,3,Cody Stamann,Eddie Winelan,0.98,0.32299128055273163,0.18593705506720296,0.8181060806139887,0.9117287335635479,0.8385919596932315
2022-06-18,W,Decision - Split,3,Maria Oliveira,Gloria de Paula,25.0,0.133351310796585,0.17820360001989793,-1.1481510293110024,0.8874545907380855,-0.6785068791172352
2022-06-18,W,KO/TKO,3,Ricardo Ramo,Danny Chavez,5.2,-0.2268373565926063,-0.21792115295872688,-0.13112148969462775,-0.18551707078291563,0.061266564560145814
2022-06-18,L,Submission,3,Tim Means,Kevin Holland,5.47,-0.3973860542256509,-0.22307678965693026,-0.7413392134644523,-0.7394584649235236,-0.1940867053386456
2022-06-18,L,Decision - Unanimous,3,Jasmine Jasudaviciu,Natalia Silv,25.0,,,,,
2022-06-18,W,KO/TKO,3,Gregory Rodrigues,Julian Marquez,15.3,-0.7359379465419932,-0.6956768203255715,0.6825021419984723,0.47152124457145445,0.5043795917374603
2022-06-18,L,Decision - Split,3,Guram Kutateladze,Damir Ismagulov,25.0,-1.0439438034613722,-1.0892237549550947,-0.19892345900238612,-1.4286804752599676,-1.748737495604817
2022-06-18,L,TKO - Doctor's Stoppage,3,Albert Durae,Joaquin Buckley,25.0,3.5061427192112733,3.858468929754063,1.0893139578450217,3.078400538119428,1.6797556723010147
2022-06-18,W,Decision - Split,5,Josh Emmett,Calvin Katta,25.0,0.22244391403772773,0.23835269483227056,-0.33452739761790246,-0.7590959737261452,0.14763605290826648
2022-06-18,W,KO/TKO,3,Adrian Yane,Tony Kelley,15.82,-0.7792114966876911,-0.6879433652782665,-0.26672542831014445,-1.8923438775440808,-0.6522205130982419
2022-06-11,W,Decision - Split,3,Josh Culibao,SeungWoo Choi,25.0,-0.8632130940293399,-0.8812797414608925,0.4790962340751972,-0.5580842516770913,-0.6822620742628056
2022-06-11,W,Decision - Unanimous,3,Joselyne Edwards,Ramona Pascua,25.0,0.4299024044421029,0.20655960186001643,0.41129426476743847,0.35996928484545293,-1.0277400276552882
2022-06-11,L,KO/TKO,3,Liang Na,Silvana Gomez Juarez,5.37,-0.18483655792178186,-0.2514327914970487,2.106343497461396,0.8009950033709891,0.8310815694020905
2022-06-11,L,Decision - Unanimous,3,Batgerel Danaa,Kyung Ho Kang,25.0,-0.7372106980168667,-0.6106088148052161,-0.13112148969462775,-1.2666710276383422,-1.8989453014276356
2022-06-11,W,Decision - Unanimous,3,Brendan Allen,Jacob Malkoun,25.0,-1.49449782556658,-1.3212274063742457,1.3605218350760548,-1.1922121400950698,-1.8238413985162263
2022-06-11,L,KO/TKO,3,Steve Garcia, Maheshat,5.23,,,,,
2022-06-11,L,KO/TKO,3,Ramazan Emeev,Jack Della Maddalen,10.53,0.11553279014835645,0.20312251072788085,-0.5379333055411776,0.49906830553068704,1.5333030616237668
2022-06-11,L,KO/TKO,3,Andre Fialh,Jake Matthews,10.4,-1.2323110217426454,-1.1390615763710603,0.614700172690714,-0.5654483174780743,-1.1817030286236772
2022-06-11,W,KO/TKO,3,Zhang Weili,Joanna Jedrzejczy,10.47,1.1337339700471303,1.0194316546100795,0.7503041113062306,-1.3264017835796482,0.1251048820348437
2022-06-11,L,Decision - Split,5,Taila Santo,Valentina Shevchenko,25.0,-0.41902282929849977,-0.07785968932420231,-0.5379333055411771,-0.9230146235924701,0.6057698606678626
2022-06-11,L,Submission,5,Glover Teixeir,Jiri Prochazk,20.53,1.4913771344865747,1.217923667490909,-0.13112148969462775,0.22550689818306008,0.8686335208577952
2022-06-04,L,Decision - Majority,3,Alex Da Silva,Joe Soleck,25.0,-1.2564932997652414,-1.039385933539129,-1.148151029311002,-1.040021446874755,-0.1377587781550887
2022-06-04,W,Submission,3,Erin Blanchfield,JJ Aldric,10.63,4.626164017099924,4.087894762824113,1.0893139578450217,1.9437889184124215,3.1668129499469178
