,result,fighter,opponent,date,weight class,method,norm_td_acc_dif,norm_td_def_dif,norm_sub_avg_dif,str_dif,slpm_dif,str. def_dif,str. acc._dif,sapm_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
6133,win,Chris Cariaso,Vaughan Lee,2011-11-05,Bantamweight,S-DEC:,0.2008287135201623,-0.4910008786984702,-0.18888693311776622,0.859587103858071,-0.06947134123373191,-0.7499546488093745,-0.304474135269904,0.09797167552265827,1.9897065661154227,1.3241480366186817,0.3807192252998732,-0.5740037583545848
6134,lose,Michael Bisping,Kelvin Gastelum,2017-11-25,Middleweight,KO/TKO:Punch,0.37540996638713353,0.04368063883480733,0.19131240170527442,-0.2682897767482491,0.5111021920021446,0.6786349128056043,-0.22341568381657506,-0.32558418386305277,-0.6881393265757445,-0.11906865635876814,-0.37134941189738563,1.1903824481164595
6135,win,Li Jingliang,Zak Ottow,2017-11-25,Welterweight,KO/TKO:Punches,0.4103262169605278,0.11051582852646706,-0.3789866005292867,0.7843953118176497,1.1610921259510059,-0.07767720804938497,0.5061103792633844,0.6811282935174774,-0.35253776433502426,0.4938041858645325,1.5088221810957616,-0.5740037583545848
6136,lose,Alex Caceres,Wang Guan,2017-11-25,Featherweight,S-DEC:,2.435468750217394,2.148989114122087,0.7616114039398355,-0.8322282170514093,-0.35975810785166995,0.3424961924256091,0.6682272821700423,-0.2150913509798238,1.9897065661154227,-1.0482629655360303,-0.37134941189738563,0.6022537126261116
6137,lose,Muslim Salikhov,Alex Garcia,2017-11-25,Welterweight,SUB:Rear Naked Choke,-0.6022450496679057,0.3778565872931056,-0.09383709941200612,0.14526507947406828,0.7824572129710864,0.5946002327106055,1.316694893796673,-0.28875323956864285,-0.35253776433502426,-1.2261937906976335,-0.37134941189738563,0.6022537126261116
6138,win,Zabit Magomedsharipov,Sheymon Moraes,2017-11-25,Featherweight,SUB:Anaconda Choke,1.946641242189875,0.8122853202888934,0.7616114039398355,0.5964158317165964,1.1989556172489975,0.09039215214061264,0.5061103792633844,-0.393107581736137,-0.35253776433502426,1.9765610622112273,0.7567535438985026,-0.5740037583545848
6139,lose,Bobby Nash,Song Kenan,2017-11-25,Welterweight,KO/TKO:Punches,1.1435674790018073,1.6811427862804693,1.522010073585917,-0.4938651528695131,-0.6058708012886173,-0.24574656823938257,-0.7097663925365487,-0.25806078598996823,-0.35253776433502426,-1.9774572747132926,-0.37134941189738563,1.778511183606808
6140,lose,Kailin Curran,Yan Xiaonan,2017-11-25,Women's Strawweight,U-DEC:,-0.32291504508075186,-0.12340733539434198,0.5715117365283151,-1.659337929496044,-1.1107173519285098,-0.7499546488093745,0.10081812199674024,0.6013279142129232,-0.35253776433502426,-1.7006759911285758,-0.37134941189738563,2.3666399190971563
6141,win,Song Yadong,Bharat Kandare,2017-11-25,Featherweight,SUB:Guillotine Choke,1.4578137341623554,2.0153187347387678,0.28636223541103456,0.18286097549427893,2.669321195987684,-1.0860933691893697,2.6136301170499348,1.1660690600605377,-0.35253776433502426,1.9765610622112273,0.3807192252998732,-0.5740037583545848
6142,win,Shamil Abdurakhimov,Chase Sherman,2017-11-25,Heavyweight,KO/TKO:Punches,0.7944049732678646,-0.6246712580817896,0.19131240170527444,0.032477391413436266,-2.4611818748902214,0.5105655526156058,-0.22341568381657506,-2.2776242314667634,-0.35253776433502426,0.39495372744141943,0.3807192252998732,-0.5740037583545848
6143,win,Gina Mazany,Wu Yanan,2017-11-25,Women's Bantamweight,U-DEC:,0.7594887226944705,-0.9922648013859175,0.0012127342937540688,0.5964158317165964,-0.309273452787681,0.09039215214061264,0.7492857336233713,-0.8780483482791973,1.9897065661154227,0.9880564779800974,0.3807192252998732,-0.5740037583545848
6144,lose,Wulijiburen,Rolando Dy,2017-11-25,Featherweight,U-DEC:,0.7594887226944703,0.31102139760144587,0.38141206911679476,-0.3434815687886704,-0.8961575679065555,0.3424961924256091,0.4250519278100555,-0.8903253297106669,-0.35253776433502426,-0.6528611318435782,-0.37134941189738563,0.6022537126261116
6145,win,Cyril Asker,Hu Yaozong,2017-11-25,Heavyweight,SUB:Rear Naked Choke,2.1561387456302405,2.249241898659576,0.4764619028225549,0.44603224763575366,0.006255641362252015,0.006357472045613839,-0.7097663925365483,0.44786564631955006,-0.35253776433502426,0.9880564779800974,0.3807192252998732,-0.5740037583545848
6146,win,Daniel Cormier,Anthony Johnson,2017-04-08,Light Heavyweight,SUB:Rear Naked Choke,-0.4625800473743284,0.11051582852646706,-0.18888693311776622,0.521224039676175,0.6373138296621174,-0.497850608524378,0.42505192781005596,0.6688513120860075,-0.35253776433502426,0.41472381912604206,1.5088221810957616,-0.5740037583545848
6147,lose,Chris Weidman,Gegard Mousasi,2017-04-08,Middleweight,KO/TKO:Knee,-0.4625800473743286,0.21076861306395667,-0.18888693311776633,-1.3585707613343585,-0.4481062542136512,-1.338197409474366,-0.5476494896298908,1.1844845322077426,-0.35253776433502426,-0.00044810625103244216,-1.875486686291903,1.778511183606808
6148,lose,Pearl Gonzalez,Cynthia Calvillo,2017-04-08,Women's Strawweight,SUB:Rear Naked Choke,-1.1609050588422138,-2.49605656944826,-0.3789866005292867,-0.4938651528695131,-1.2116866620564883,-0.6659199687143765,-0.14235723236324657,0.0734177126597185,-0.35253776433502426,-1.9774572747132926,-0.747383730496015,0.6022537126261116
6149,lose,Patrick Cote,Thiago Alves,2017-04-08,Welterweight,U-DEC:,-1.4053188128559735,-0.6580888529276193,-0.09383709941200609,-1.3209748653141478,-0.5743178918736241,-1.1701280492843684,0.5871688307167134,-0.12915248095953455,-0.35253776433502426,-0.31676957320499405,-0.37134941189738563,1.1903824481164595
6150,win,Charles Oliveira,Will Brooks,2017-04-08,Lightweight,SUB:Rear Naked Choke,-0.39274754622754005,-0.8251768271567684,2.4725084106435187,-0.042714400626985075,-0.45441683609664973,-0.3297812483343813,-0.46659103817656145,0.3926192298779354,-0.35253776433502426,0.5135742775491551,0.3807192252998732,-1.162132493844933
6151,lose,Mike de la Torre,Myles Jury,2017-04-08,Featherweight,KO/TKO:Punches,-1.3704025622825793,1.1130436739013618,-0.2839367668235265,-1.3585707613343585,0.1766413522032157,-1.2541627293793671,-0.22341568381657506,1.5896249194462484,-0.35253776433502426,-0.8901022320590494,-0.37134941189738563,1.1903824481164595
6152,lose,Sean Strickland,Kamaru Usman,2017-04-08,Welterweight,U-DEC:,0.4452424675339221,-0.39074809416098055,0.19131240170527442,-2.3736599538800465,0.631003247779119,0.6786349128056043,-1.0340001983498641,0.8898369778524653,-0.06018288813761225,-0.5737807651050879,-1.875486686291903,0.6022537126261116
6153,win,Shane Burgos,Charles Rosa,2017-04-08,Featherweight,KO/TKO:Punch,0.3055774652403451,1.781395570817959,-0.569086267940807,-0.3434815687886704,2.732427014817671,0.7626695929006031,1.3166948937966734,1.7921951130655016,-0.06018288813761225,1.1857573948263234,0.7567535438985026,-0.5740037583545848
6154,win,Patrick Cummins,Jan Blachowicz,2017-04-08,Light Heavyweight,U-DEC:,-0.4276637968009345,-1.2596055601525564,-0.18888693311776625,0.746799415797439,0.4543069550551565,0.09039215214061264,0.10081812199674024,0.3557882855835257,-0.35253776433502426,0.4542640024952874,0.3807192252998732,-1.162132493844933
6155,lose,Andrew Holbrook,Gregor Gillespie,2017-04-08,Lightweight,KO/TKO:Punch,-1.056156307122031,-2.9973204921357075,1.2368605724686363,-0.1555020886876171,-0.9655739686195408,-0.24574656823938162,-0.2234156838165755,0.42945017417234504,1.9897065661154227,-0.9889526904821624,-0.747383730496015,0.6022537126261116
6156,lose,Josh Emmett,Desmond Green,2017-04-08,Lightweight,S-DEC:,-0.35783129565414573,-0.5578360683901299,0.09626256799951424,-0.6066528409301452,0.37226939057617403,-0.497850608524378,-0.7097663925365487,1.0924071714717185,-0.6881393265757445,-0.6528611318435781,-0.37134941189738563,0.6022537126261116
