name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Steve Bruno,15,6,0,177.8,76.5,182.27,Orthodox,42,0.96,0.52,3.38,0.36,1.94,0.25,0.46,0.4,04-18-2023,02-07-2009,http://ufcstats.com/fighter-details/2f3f12002564bb55
Akihiro Gono,35,21,8,170.18,76.5,172.72,Switch,49,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,04-18-2023,12-31-2009,http://ufcstats.com/fighter-details/b2acebbef8da14ea
Christian Wellisch,8,5,0,187.96,105.3,195.58,Orthodox,48,3.12,0.27,3.04,0.56,1.22,0.42,0.45,1.2,04-18-2023,01-31-2009,http://ufcstats.com/fighter-details/f1b2a4365799c48b
Matt Arroyo,3,3,0,177.8,76.5,182.88,Orthodox,41,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,04-18-2023,01-31-2009,http://ufcstats.com/fighter-details/de62052b2ede65ba
Jeremy Horn,91,22,5 (1 NC),185.42,83.25,187.96,Orthodox,48,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/8d26912cd2aeb366
Tom Egan,7,5,0,180.34,76.5,184.88,Orthodox,37.85,0.0,0.0,3.91,0.5,0.0,0.0,0.28,0.0,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01
Alexandre Barros,22,11,0,175.26,76.5,179.67,Southpaw,47,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/8fd1f27e86661ede
Antonio Mendes,18,13,0,190.5,92.25,195.58,Southpaw,42,1.34,0.47,6.85,0.22,2.51,0.5,1.0,0.0,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/3795fca327cbcf23
Ivan Serati,12,4,0,182.88,92.25,187.48,Orthodox,37.85,0.86,0.26,5.33,0.29,0.0,0.0,0.0,0.0,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/b23fca14c7b79935
Nate Mohr,9,7,0,175.26,69.75,182.88,Orthodox,40,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0,04-18-2023,01-17-2009,http://ufcstats.com/fighter-details/04c15b52c3cc1cab
Dean Lister,13,7,0,185.42,83.25,190.5,Orthodox,47,1.26,0.35,1.89,0.61,1.58,0.15,0.5,1.1,04-18-2023,12-27-2008,http://ufcstats.com/fighter-details/68c6cd5287b473a7
Mike Wessel,15,8,0,182.88,117.0,187.48,Orthodox,46,1.82,0.56,6.43,0.22,6.29,0.5,0.0,0.0,04-18-2023,12-27-2008,http://ufcstats.com/fighter-details/b51841e7c594090d
Reese Andy,7,3,0,182.88,92.25,187.48,Orthodox,50,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,04-18-2023,12-27-2008,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Dan Evensen,11,4,0,190.5,112.5,195.29,Orthodox,49,0.27,0.1,3.86,0.38,0.0,0.0,0.0,4.0,04-18-2023,12-27-2008,http://ufcstats.com/fighter-details/dd8aec6de7035943
Shane Primm,5,5,0,190.5,92.25,195.29,Orthodox,39,0.83,0.26,2.25,0.62,1.78,0.2,0.0,0.0,04-18-2023,12-13-2008,http://ufcstats.com/fighter-details/5114f1b5ad4cdf72
Jules Bruchez,1,2,0,182.88,92.25,187.48,Southpaw,46,0.69,0.5,5.52,0.46,0.0,0.0,0.0,0.0,04-18-2023,12-13-2008,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
John Polakowski,2,2,0,177.8,69.75,182.27,Orthodox,42,2.6,0.26,2.83,0.5,0.0,0.0,0.87,0.7,04-18-2023,12-13-2008,http://ufcstats.com/fighter-details/b18fb36a4aa00093
Nate Loughran,11,2,0,187.96,83.25,192.69,Orthodox,43,1.81,0.4,4.11,0.59,0.0,0.0,0.0,2.1,04-18-2023,12-10-2008,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d
Brodie Farber,16,7,0,185.42,76.5,190.08,Orthodox,43,1.69,0.45,2.17,0.53,0.9,0.5,0.2,0.9,04-18-2023,12-10-2008,http://ufcstats.com/fighter-details/91d73ee59347ac16
Johnny Rees,13,5,0 (1 NC),182.88,76.5,187.48,Orthodox,41,3.29,0.64,0.84,0.47,1.15,0.25,0.5,0.0,04-18-2023,12-10-2008,http://ufcstats.com/fighter-details/3ba3b5cc94498437
Corey Hill,6,9,0,193.04,69.75,203.2,Orthodox,45,3.57,0.46,1.61,0.7,3.02,0.8,1.0,0.0,04-18-2023,12-10-2008,http://ufcstats.com/fighter-details/abbc737317f66b81
Eddie Sanchez,15,8,0,187.96,103.5,187.96,Orthodox,41,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0,04-18-2023,12-10-2008,http://ufcstats.com/fighter-details/7f0b4a75ef3039a3
Josh Hendricks,19,11,0 (1 NC),187.96,105.75,192.69,Southpaw,47,0.98,0.2,11.8,0.29,0.0,0.0,0.0,0.0,04-18-2023,11-15-2008,http://ufcstats.com/fighter-details/7649c4c95b824488
Jorge Gurgel,14,10,0,170.18,69.75,175.26,Orthodox,46,3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5,04-18-2023,01-12-2013,http://ufcstats.com/fighter-details/04d5718ed2661e8c
Alvin Robinson,15,9,0,175.26,69.75,172.72,Southpaw,41,1.57,0.5,1.29,0.51,1.24,0.5,0.25,1.2,04-18-2023,11-15-2008,http://ufcstats.com/fighter-details/cbe79765d44bd172
Ryan Thomas,20,8,0,182.88,76.5,187.48,Orthodox,39,2.01,0.36,4.17,0.3,5.59,0.33,0.0,2.2,04-18-2023,11-15-2008,http://ufcstats.com/fighter-details/b732b326c362fb62
Rameau Thierry Sokoudjou,18,18,0,177.8,92.25,198.12,Orthodox,39,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,04-18-2023,12-31-2009,http://ufcstats.com/fighter-details/d1152823307d7e7c
Neil Wain,13,4,0,177.8,108.9,182.27,Orthodox,37.85,2.64,0.5,8.57,0.43,0.0,0.0,0.5,0.0,04-18-2023,10-18-2008,http://ufcstats.com/fighter-details/6b7bc7eaf2465387
Jess Liaudin,20,11,0,175.26,76.5,182.88,Orthodox,37.85,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6,04-18-2023,10-18-2008,http://ufcstats.com/fighter-details/a8aba6fd8a463043
David Baron,17,4,1,167.64,69.75,171.86,Switch,50,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7,04-18-2023,10-18-2008,http://ufcstats.com/fighter-details/80c0bed43da0e27b
Samy Schiavo,10,6,0,172.72,69.75,177.06,Orthodox,48,1.68,0.34,2.62,0.38,0.94,0.5,0.66,0.9,04-18-2023,10-18-2008,http://ufcstats.com/fighter-details/1208ffc5be6e31ad
Brad Morris,10,6,0,187.96,92.25,192.69,Orthodox,44,0.5,0.62,6.95,0.27,0.0,0.0,0.0,0.0,04-18-2023,09-17-2008,http://ufcstats.com/fighter-details/6803d4d6908354ac
Jason Lambert,26,13,0,190.5,83.25,190.5,Orthodox,48,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,04-18-2023,09-06-2008,http://ufcstats.com/fighter-details/5be86bb2f78fef2f
Heath Herring,28,16,0 (1 NC),193.04,112.5,198.12,Orthodox,45,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,04-18-2023,08-09-2008,http://ufcstats.com/fighter-details/7450525c7ba032a0
Luke Cummo,6,6,0,182.88,76.5,187.96,Orthodox,43,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,04-18-2023,08-09-2008,http://ufcstats.com/fighter-details/93ce4ac89e3d7652
Cale Yarbrough,8,3,0,185.42,83.25,190.08,Orthodox,37,3.16,0.27,10.0,0.72,0.0,0.0,0.0,0.0,04-18-2023,04-17-2010,http://ufcstats.com/fighter-details/a0b91014e9d16a76
James Giboo,13,5,0,180.34,76.5,184.88,Orthodox,45,1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0,04-18-2023,07-19-2008,http://ufcstats.com/fighter-details/f74e037b97917027
Evan Tanner,32,8,0,182.88,83.25,187.96,Orthodox,52,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,04-18-2023,06-21-2008,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f
Dante Rivera,16,7,0,185.42,83.25,190.08,Southpaw,49,2.27,0.53,4.0,0.25,0.0,0.0,0.16,0.0,04-18-2023,06-21-2008,http://ufcstats.com/fighter-details/288aaa8f82040e02
Marvin Eastman,18,15,1,175.26,83.25,185.42000000000002,Orthodox,52,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0,04-18-2023,06-21-2008,http://ufcstats.com/fighter-details/05866d8c3a321856
Rob Yundt,9,5,0,185.42,83.25,190.08,Orthodox,43,1.37,0.41,2.55,0.31,2.94,1.0,0.0,0.0,04-18-2023,06-21-2008,http://ufcstats.com/fighter-details/42078a86d3dd037b
Ivan Salaverry,14,9,0,182.88,83.25,187.48,Orthodox,52,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5,04-18-2023,05-24-2008,http://ufcstats.com/fighter-details/394f55ebca199124
Kazuhiro Nakamura,21,13,0,180.34,92.25,177.8,Orthodox,44,1.56,0.37,1.83,0.59,1.73,0.36,0.42,0.6,04-18-2023,09-24-2011,http://ufcstats.com/fighter-details/b034747dc1d15491
War Machine,14,5,0,180.34,76.5,184.88,Orthodox,42,2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0,04-18-2023,05-24-2008,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0
Jason Tan,5,3,0,177.8,76.5,182.27,Orthodox,42,0.69,0.29,7.37,0.18,0.0,0.0,0.0,0.0,04-18-2023,05-24-2008,http://ufcstats.com/fighter-details/ad3041e61896b975
Travis Lutter,10,6,0,180.34,83.25,190.5,Orthodox,50,0.41,0.32,2.42,0.42,1.95,0.24,0.3,0.7,04-18-2023,04-19-2008,http://ufcstats.com/fighter-details/622f015c81a9b13a
