result,fighter,opponent,date,weight_class,method,type,kd_dif,str_dif,td_dif,sub_dif,td_avg_dif,td_def_dif,sub_avg_dif,str_dif,slpm_dif,str_acc_dif,sapm_dif,str_def_dif,str_efc_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
lose,Daniel Omielanczuk,Curtis Blaydes,2017-07-08,Heavyweight,U-DEC,Unanimous,0.004209787510434131,-0.7934210686425851,0.0031957046163765875,-0.008752130294404926,-3.008865190422668,1.210375751599807,0.1,-0.7934210686425851,-0.30874966184225133,0.6389376860158043,0.8883697520147128,-1.0651627185036556,0.0,1.1593393261852534,-0.41932952741459073,-0.547693408402927,2.022101414754426
lose,Jim Miller,Anthony Pettis,2017-07-08,Lightweight,U-DEC,Unanimous,0.004209787510434131,-1.1982413620187733,0.0031957046163765875,-0.008752130294404926,0.5345123078206369,-0.4132519935549309,0.7,-1.1982413620187733,-0.1331189781145301,-0.5181326929243495,-0.22199771561044365,0.3276083289630869,-0.0014399999999999994,1.1593393261852534,0.29837429719337605,0.009144189518573277,-0.018188382616538157
lose,Douglas Silva de Andrade,Rob Font,2017-07-08,Bantamweight,SUB,Guillotine Choke,0.004209787510434131,-1.566259810542581,0.0031957046163765875,-2.591573104252486,-0.22238003753196803,0.5194703281297053,-0.2,-1.566259810542581,-1.770247851433644,-0.6834284613443717,-0.02011272149677896,0.15351194802974386,-0.0050599999999999985,0.23225199010944048,0.620103597879706,0.5659817874400735,-0.018188382616538157
win,Aleksei Oleinik,Travis Browne,2017-07-08,Heavyweight,SUB,Rear Naked Choke,0.004209787510434131,0.6418508806002649,0.7890932168129882,1.7131285190109828,0.34388756899109196,-1.3114290440660623,1.7,0.6418508806002649,0.21186986492206464,0.5562898018057937,-0.316631306601224,0.15351194802974483,0.02336,0.23225199010944048,0.24887748170317164,0.5659817874400735,-3.078623078672985
win,Chad Laprise,Brian Camozzi,2017-07-08,Welterweight,KO/TKO,Punch,1.3500788545962257,1.0466711739764532,0.39614446071468234,-0.008752130294404926,0.5905784074763852,2.6958224120605245,-0.7,1.0466711739764532,1.0084804661156568,1.3001207596958924,-1.7613707957271376,0.9369456622297875,0.00683,0.23225199010944048,1.659536723174003,0.5659817874400735,-1.0383332813020205
lose,Gerald Meerschaert,Thiago Santos,2017-07-08,Middleweight,KO/TKO,Punches,0.004209787510434131,-1.6766653450997233,1.1820419729112939,-0.008752130294404926,0.6971039968223075,-1.2423385017190525,1.5999999999999999,-1.6766653450997233,-0.3965650037061119,-0.4354848087143385,0.5729244487121117,-0.10763262337026974,-0.03205,1.1593393261852534,1.0903233450366496,0.009144189518573277,-0.018188382616538157
lose,Jordan Mein,Belal Muhammad,2017-07-08,Welterweight,U-DEC,Unanimous,0.004209787510434131,-0.35179893041401583,-1.1756505636785408,0.8521881943582889,-0.23359325746311768,-0.9314310611575068,0.0,-0.35179893041401583,-0.7666439444180952,0.0604024965457276,-0.6825478584322417,1.023993852696459,0.01667,0.23225199010944048,0.001393404252148399,-0.547693408402927,2.022101414754426
win,Cody Stamann,Terrion Ware,2017-07-08,Featherweight,U-DEC,Unanimous,0.004209787510434131,1.2306803982383572,3.1467857534028227,-0.008752130294404926,1.0335005947567983,1.1067399380792917,0.0,1.2306803982383572,0.21814238934091199,1.2174728754858812,-1.5342501773492652,1.023993852696459,0.0,0.23225199010944048,0.001393404252148399,0.009144189518573277,-0.018188382616538157
lose,Michael Johnson,Justin Gaethje,2017-07-07,Lightweight,KO/TKO,Knees,0.004209787510434131,-0.49900630982353894,0.39614446071468234,-0.008752130294404926,0.1869024899549961,0.1740176163946552,0.1,-0.49900630982353894,-1.9584235839990594,-1.7578509560745146,-2.3607168720020804,0.4146565194297584,0.0122,1.1593393261852534,1.3130590147425707,0.009144189518573277,1.001956516068944
lose,Dhiego Lima,Jesse Taylor,2017-07-07,Welterweight,SUB,Rear Naked Choke,1.3500788545962257,-0.646213689233062,-0.782701807580235,-1.7306327795997924,-3.3732948381850343,-0.9314310611575068,-2.5,-0.646213689233062,0.7262168672675335,-2.1710903771245698,2.105988622762754,1.7203793764298303,0.0,0.23225199010944048,0.620103597879706,0.009144189518573277,1.001956516068944
