,set,fighter,opponent,kd_dif,str_dif,td_dif,sub_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,result,result_pred
746,train,Louis Gaudinot,Johnny Bedford,-1.3474497100131326,-2.846867036035228,-1.5857879785730735,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
747,validation,Stephen Bass,Marcus Brimage,0.0070431212440949,-0.5506689933903027,-0.4015491970891212,0.0001258851697796,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
748,train,Dustin Pague,John Albert,-1.3474497100131326,-0.6635967659793974,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
749,train,Josh Ferguson,Roland Delorme,-1.3474497100131326,-0.0613153121708925,-0.7962954575837721,-1.6945402704032262,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
750,test,Josh Clopton,Steven Siler,0.0070431212440949,-1.0776652654727443,1.5721821053841334,-1.6945402704032262,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
751,validation,Bryan Caraway,Dustin Neace,0.0070431212440949,0.2021828238703283,1.1774358448894824,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
752,test,Thiago Santos,Magomed Ankalaev,1.3615359525013224,-0.6635967659793974,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,-0.617791131941695,-3.442072793446599,0.0057617699926063,lose,lose
753,train,Marlon Moraes,Song Yadong,-1.3474497100131326,-0.1742430847599872,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.9755120281184738,-1.153986284033562,3.2376345883453634,lose,lose
754,test,Sodiq Yusuff,Alex Caceres,0.0070431212440949,-0.0613153121708925,-0.0068029365944702,0.0001258851697796,-1.776059615341257,0.5575775269248642,-2.87005116609334,1.0830527094435254,win,lose
755,test,Khalil Rountree Jr.,Karl Roberson,2.7160287837585497,0.3527531873224545,-0.0068029365944702,0.0001258851697796,-0.8293134296146295,-0.0045553099243599,0.5620785980262154,-2.148820108909232,win,win
756,test,Terrance McKinney,Drew Dober,0.0070431212440949,0.72917909595277,0.7826895843948315,0.0001258851697796,2.5262575002009298,1.1197103637740875,1.1341002253794747,-2.148820108909232,lose,win
757,validation,Bruno Silva,Alex Pereira,0.0070431212440949,-1.830517082733376,0.7826895843948315,0.0001258851697796,-0.0172712135127385,-0.7455485948619732,2.278143480085993,0.0057617699926063,lose,lose
758,validation,AJ Fletcher,Matthew Semelsberger,0.0070431212440949,-0.2118856756230187,1.1774358448894824,1.6947920407427854,1.0084307925935114,-1.920917253728532,-0.5819646566803028,0.0057617699926063,lose,win
759,test,Gillian Robertson,JJ Aldrich,0.0070431212440949,-0.2871708573490819,0.3879433239001806,0.0001258851697796,-1.776059615341257,-0.0812097876765268,-0.5819646566803028,0.0057617699926063,lose,lose
760,train,Javid Basharat,Trevin Jones,0.0070431212440949,1.0303198228570225,-0.0068029365944702,0.0001258851697796,-1.776059615341257,-1.2821299391271417,-0.0099430293270437,-1.071529169458313,win,win
761,train,Damon Jackson,Kamuela Kirk,0.0070431212440949,0.390395778185486,0.7826895843948315,0.8474589629562826,1.0084307925935114,-1.2821299391271417,-0.0099430293270437,0.0057617699926063,win,win
762,validation,Sabina Mazo,Miranda Maverick,0.0070431212440949,-0.1366004938969557,-1.5857879785730735,-0.8472071926167234,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
763,train,Dalcha Lungiambula,Cody Brundage,0.0070431212440949,0.9550346411309591,-0.0068029365944702,-0.8472071926167234,-0.0172712135127385,1.2730193192784214,-0.0099430293270437,0.0057617699926063,lose,win
764,test,Guido Cannetti,Kris Moutinho,0.0070431212440949,0.6538939142267068,-0.0068029365944702,0.0001258851697796,-0.8293134296146295,0.7364379750132531,-0.0099430293270437,2.1603436488944445,win,win
765,test,Tafon Nchukwi,Azamat Murzakanov,-1.3474497100131326,0.5786087325006438,-0.4015491970891212,0.0001258851697796,-1.776059615341257,1.7073946932073671,0.5620785980262154,0.0057617699926063,lose,lose
