,result,fighter,opponent,date,weight class,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
1684,lose,Gillian Robertson,Maycee Barber,2019-10-18,Women's Flyweight,KO/TKO:Punches,0.007043121244094929,-0.8141671294315237,-0.006802936594470287,0.0001258851697796023,0.815610004851021,0.3246252355154893,-1.2730587802792839,0.8570704656515071,-1.3388877454048578,-0.3978958529882387,0.1716900834829832,-0.32227699088167455,0.07643193704509792,-0.5155851616054723,-0.009943029327043728,0.005761769992606312
1685,lose,Deron Winn,Darren Stewart,2019-10-18,Middleweight,S-DEC:,0.007043121244094929,-1.040022674609713,1.9669283658787844,0.0001258851697796023,1.406558933007246,0.2546822941331569,-0.9044970956821686,-0.0963159670538795,0.9639028951463677,-0.07357555915633818,1.7773220157572955,-0.1540531501973351,-0.01727121351273854,1.451879767366811,-0.009943029327043728,0.005761769992606312
1686,win,Charles Rosa,Manny Bermudez,2019-10-18,Featherweight,SUB:Armbar,0.007043121244094929,-0.7765245385684921,-0.40154919708912123,0.8474589629562826,-0.7788371031931328,-0.654575943837166,1.2733674042098768,-2.0030888324646527,0.11617227472366391,-2.0194973221477395,0.7150408134161154,0.09828261082917245,1.1834540518514318,-0.8988575503663069,-0.009943029327043728,0.005761769992606312
1687,lose,Diana Belbita,Molly McCann,2019-10-18,Women's Flyweight,U-DEC:,0.007043121244094929,-0.5506689933903027,-1.5857879785730737,-0.8472071926167234,-0.6171623964334109,0.5344540596624869,0.7372776811595273,-0.4776705401360342,0.38820523500856124,-0.6411360733621636,0.8127218435164539,-1.1633961943033686,-0.01727121351273854,-1.7165053130560872,-1.153986284033562,0.005761769992606312
1688,win,Sean Woodson,Kyle Bochniak,2019-10-18,Featherweight,U-DEC:,0.007043121244094929,2.6113086391043474,-0.40154919708912123,0.0001258851697796023,-0.6394623559864758,-0.5146900610725008,0.6702664657782333,0.6663931791104297,1.868570646791492,1.1426255427132879,-0.5242872559819283,-0.15405315019733462,-0.01727121351273854,-0.8477545651981957,-0.009943029327043728,-2.1488201089092316
1689,win,Randy Costa,Boston Salmon,2019-10-18,Bantamweight,KO/TKO:Punch,2.7160287837585497,0.39039577818548604,-0.006802936594470287,0.0001258851697796023,-0.003913508724120937,0.009881999294993076,-1.675126072567046,-0.0009773237833408386,1.5332742073705723,0.7372251754234127,-0.10914287805548968,-0.06994122985516607,2.5262575002009298,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
1690,lose,Court McGee,Sean Brady,2019-10-18,Welterweight,U-DEC:,-1.3474497100131326,-0.4377412208012081,-0.7962954575837721,0.0001258851697796023,-0.5279625582211503,-0.8644047679841633,-0.6029466264663471,-0.28699325359495687,0.33759445169974306,-1.2897766610259644,-0.10914287805548968,-0.15405315019733556,-0.01727121351273854,1.3496737970305883,-0.009943029327043728,1.0830527094435254
1691,win,Brendan Allen,Kevin Holland,2019-10-18,Middleweight,SUB:Rear Naked Choke,0.007043121244094929,-0.4377412208012081,0.38794332390018066,2.5421251185292886,0.26368600591266017,0.044853469986159356,0.00015431196529641628,0.8570704656515071,0.10351957889645937,0.08858458775961209,0.9897687105733173,-0.9110604332768606,-0.01727121351273854,-1.920917253728532,-1.7260079113868212,0.005761769992606312
1692,win,Tanner Boser,Daniel Spitz,2019-10-18,Heavyweight,U-DEC:,0.007043121244094929,2.3101679122000953,-0.006802936594470287,0.0001258851697796023,-0.4164627604558251,-2.29823506632198,2.144513204166695,-0.0009773237833408386,1.0334927221959926,1.3858657630872133,-1.8979267417679366,1.359961415961714,-0.01727121351273854,-0.8477545651981957,-0.009943029327043728,-1.0715291694583127
1693,lose,Augusto Sakai,Jairzinho Rozenstruik,2021-06-05,Heavyweight,KO/TKO:Punches,-1.3474497100131326,-0.47538381166423965,-0.006802936594470287,0.0001258851697796023,0.0685613598233406,1.1639405321034797,-0.7034634495382874,-0.0009773237833408386,1.2359358554312656,0.2507447346755619,0.5013635600716253,0.2665064515135115,-0.01727121351273854,0.22540812333214091,-0.009943029327043728,0.005761769992606312
1694,lose,Walt Harris,Marcin Tybura,2021-06-05,Heavyweight,KO/TKO:Punches,0.007043121244094929,0.72917909595277,-0.40154919708912123,0.0001258851697796023,-0.6338873660982096,-0.13000388346967187,-0.3013961572505255,-0.0009773237833408386,-0.3393247750556995,-0.8032962202781134,-0.03588210548023582,0.014170690487003425,1.4881221995019178,-0.4900336690214168,-2.2980295387400806,2.1603436488944445
1695,lose,Laureano Staropoli,Roman Dolidze,2021-06-05,Middleweight,U-DEC:,0.007043121244094929,-0.17424308475998723,-0.7962954575837721,0.0001258851697796023,-0.9182118503997896,-0.8993762386753296,0.5027384273249991,-1.5263956161119596,0.4641214099717886,-1.1276165141100136,1.3316523159245015,-0.7428365925925211,-0.01727121351273854,-0.4389306838533057,-0.009943029327043728,1.0830527094435254
1696,lose,Miguel Baeza,Santiago Ponzinibbio,2021-06-05,Welterweight,U-DEC:,0.007043121244094929,-0.6259541751163659,-0.006802936594470287,0.0001258851697796023,-0.07081338738331623,-0.09503241277850559,1.3403786195911707,1.7151182550863553,-0.06096546685719975,0.6561451019654376,0.19611034100806782,-0.5746127519081822,-0.01727121351273854,0.6342320046770308,1.706121852732734,-1.0715291694583127
1697,win,Gregory Rodrigues,Dusko Todorovic,2021-06-05,Middleweight,U-DEC:,0.007043121244094929,1.2938179588982435,1.1774358448894824,0.0001258851697796023,0.7765850756331573,1.3387978855593108,1.8429627349508733,0.5710545358398911,0.36289984335415276,-0.15465563261431242,0.8066167791351829,0.35061837185568145,-0.01727121351273854,-1.2821299391271415,-0.009943029327043728,-1.0715291694583127
1698,lose,Ariane Lipski,Montana De La Rosa,2021-06-05,Women's Flyweight,KO/TKO:Punches,0.007043121244094929,-0.6635967659793974,-0.7962954575837721,0.0001258851697796023,-1.0631615874947127,-0.3748041783078357,-0.26789054955987823,-0.5730091834065729,0.48310045371259525,-0.07357555915633818,0.5502040751217943,0.7711779735665284,-0.01727121351273854,-0.6944456096938619,-0.009943029327043728,0.005761769992606312
1699,win,Ilir Latifi,Tanner Boser,2021-06-05,Heavyweight,S-DEC:,0.007043121244094929,-1.3035208106509337,0.7826895843948315,0.0001258851697796023,1.1835593374765951,1.2688549441769783,1.2063561888285832,0.2850386060282752,-1.4337829641088917,-0.8032962202781139,0.33042175739603297,-0.4905008315660126,-0.01727121351273854,-0.15786426542869353,-0.009943029327043728,2.1603436488944445
1700,lose,Francisco Trinaldo,Muslim Salikhov,2021-06-05,Welterweight,U-DEC:,-1.3474497100131326,-0.8518097202945553,-0.7962954575837721,0.0001258851697796023,-0.10983831660118008,0.2546822941331569,-0.5694410187757002,0.4757158925693525,0.07188783932844786,-0.15465563261431287,0.0617989246201024,-0.49050083156601354,1.4881221995019178,-0.18341575801274948,-0.5819646566803028,0.005761769992606312
1701,lose,Makwan Amirkhani,Kamuela Kirk,2021-06-05,Featherweight,U-DEC:,0.007043121244094929,-0.2871708573490819,1.9669283658787844,-2.5418733481897293,1.830258164515483,0.11479641136849175,-0.5024298033944065,-0.19165461032441813,-1.0225703497247445,-0.39789585298823826,-1.2996304324033638,0.7711779735665284,1.5547749492943046,1.7073946932073671,-0.009943029327043728,1.0830527094435254
1702,lose,Tabatha Ricci,Manon Fiorot,2021-06-05,Women's Flyweight,KO/TKO:Punches,-1.3474497100131326,-2.508083718267944,-0.40154919708912123,0.0001258851697796023,1.2560342060240568,-0.16497535416083814,-2.780811126358392,-0.0009773237833408386,-2.2815135845315955,-0.39789585298823826,1.063029483148571,-1.0792842739611992,-0.01727121351273854,-2.5597045683299227,-0.5819646566803028,0.005761769992606312
1703,win,Sean Woodson,Youssef Zalal,2021-06-05,Featherweight,S-DEC:,0.007043121244094929,-0.06131531217089258,-0.7962954575837721,1.6947920407427854,-1.1969613448131031,-1.0742335921311608,0.7372776811595271,-0.3823318968654956,1.7926544718282649,-0.235735706072288,1.5270143761251782,-0.6587246722503516,0.07643193704509792,-0.26007023576491617,-0.009943029327043728,-1.0715291694583127
