,set,fighter,opponent,result,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
2001,validation,Crafton Wallace,Martin Kampmann,lose,0.0070431212440949,-0.6635967659793974,-0.4015491970891212,-0.8472071926167234,-1.0408616279416476,-1.4239482990428232,-1.2060475648979905,-1.9077501891941144,-1.0415493934655513,0.1696646612175872,-0.567022706650826,-1.247508114645538,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.08637017746330007,-0.08637017746330007,-0.08637017746330007,-0.08637017746330007
2002,train,Jason Von Flue,Joe Riggs,lose,0.0070431212440949,-0.023672721307861,-0.4015491970891212,-0.8472071926167234,-1.0241366582768487,-1.354005357660491,-0.1338681187972911,0.8570704656515071,-0.3140193834012905,-1.2086965875679891,0.934823131141877,-0.4063889112238431,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,0.05374977059779249,0.05374977059779249,0.05374977059779249,0.05374977059779249
2003,test,Jake O'Brien,Kristof Midoux,win,0.0070431212440949,0.8797494594048961,1.1774358448894824,0.0001258851697796,3.5585050298780265,1.8983414166179708,0.8377945042314678,0.1896999627577365,0.4008579308357659,-0.9654563671940636,-0.5975480285571819,1.6964090973303914,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,0.19386971865888497,0.19386971865888497,0.19386971865888497,0.19386971865888497
2004,test,Forrest Petz,Sammy Morgan,win,6.779507277530233,1.406745731487338,2.361674626373435,-0.8472071926167234,-0.0763883772715824,2.807599654588293,2.2115244195479886,-0.4776705401360342,0.7867651535655042,0.5750650285074622,-0.9455366982896372,1.444073336303883,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,-1.071529169458313,0.4741096147810699,0.4741096147810699,0.4741096147810699,0.4741096147810699
2005,train,Pat Healy,Anthony Torres,lose,0.0070431212440949,0.0892550512812336,-0.0068029365944702,-0.8472071926167234,1.713183376861891,1.3038264148681444,-1.5075980341138118,-1.0497023997592665,-0.5987050395133926,-0.9654563671940636,-3.0273636523031,0.4347302921978505,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.2731967748780901,-0.2731967748780901,-0.2731967748780901,-0.2731967748780901
2006,train,BJ Penn,Yair Rodriguez,lose,-1.3474497100131326,-1.9058022644594383,-0.0068029365944702,0.0001258851697796,0.1967861272534648,0.954111707956482,0.4022216042530586,-0.1916546103244181,-1.1933817433920058,0.2507447346755619,-0.567022706650826,0.2665064515135119,-0.0172712135127385,-1.1032694910387522,-2.87005116609334,3.2376345883453634,-0.36661007358548486,-0.36661007358548486,-0.36661007358548486,-0.36661007358548486
2007,train,Marcin Held,Joe Lauzon,lose,0.0070431212440949,0.1268976421442652,1.5721821053841334,-0.8472071926167234,0.0351114204937428,0.0448534699861593,-0.5694410187757002,-0.6683478266771116,-0.8897170435390968,-0.3978958529882382,-2.062763480062258,-0.5746127519081831,-0.0172712135127385,-1.5120933723836418,-0.0099430293270437,0.0057617699926063,-0.17978347617069512,-0.17978347617069512,-0.17978347617069512,-0.17978347617069512
2008,train,Court McGee,Ben Saunders,lose,0.0070431212440949,0.2021828238703283,0.3879433239001806,0.0001258851697796,0.9215348127280804,-0.5146900610725008,0.1006711350372367,-0.7636864699476503,0.9322711555783564,-1.046536440652039,0.0617989246201024,0.771177973566528,-0.0172712135127385,-0.0045553099243599,0.5620785980262154,-1.071529169458313,0.10045641995148996,0.10045641995148996,0.10045641995148996,0.10045641995148996
2009,test,Sergio Pettis,John Moraga,win,0.0070431212440949,0.5786087325006438,0.3879433239001806,0.0001258851697796,0.1243112587060033,0.6043970010448194,0.7707832888501741,-0.6683478266771117,0.8437022847879248,-0.4789759264462134,0.2144255341518814,0.771177973566528,-0.0172712135127385,0.3787170788364742,1.1341002253794747,-2.148820108909232,0.14716306930518752,0.14716306930518752,0.14716306930518752,0.14716306930518752
2010,train,Devin Powell,Drakkar Klose,lose,0.0070431212440949,-1.7175893101442807,-0.7962954575837721,0.0001258851697796,-1.00741168861205,-1.0392621214399944,-2.3117326186893363,0.5710545358398911,-0.9340014789343128,-1.1276165141100143,0.1350596971953562,-0.069941229855166,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.3199034242317876,-0.3199034242317876,-0.3199034242317876,-0.3199034242317876
