,set,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif,str_dif,td_dif,sub_dif,result,result_pred
4878,validation,-0.1602607381474834,-0.6559937771956315,-0.5757083435676256,0.0034855038500306,2.7036703320781528,0.1264908190810258,-0.0195109089494377,-0.0133656117621719,win,win
4879,test,1.4615106360696024,-0.2721600180292606,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,-0.5131237609382521,-2.3866022554223005,-0.0133656117621719,lose,lose
4880,train,1.4615106360696024,2.542620882524125,0.5666288311398652,0.0034855038500306,-0.0009952404962372,1.8195882367791147,-0.0195109089494377,-0.8620195025303578,win,win
4881,train,1.142097389159609,0.8281634249143358,-0.0045397562138802,1.0798724655367766,-1.3533280267834324,-0.0240067291588042,-0.0195109089494377,-0.8620195025303578,lose,lose
4882,test,-0.1602607381474834,0.5210964175812389,-0.5757083435676256,0.0034855038500306,-0.0009952404962372,-1.0022407927177,-1.2030565821858692,1.6839421697742,win,lose
4883,train,1.4615106360696024,1.2631750186362227,-0.0045397562138802,-1.0729014578367155,-1.3533280267834324,0.0888664320210683,-0.0195109089494377,-0.0133656117621719,lose,lose
4884,test,-1.4077548504495816,-0.0162708452516801,-0.0045397562138802,-1.0729014578367155,-0.0009952404962372,0.5779834638005161,0.7695195398748498,2.5325960605423856,win,win
4885,train,-0.1602607381474834,1.2631750186362227,-0.0045397562138802,3.232646388910269,-0.0009952404962372,0.3898615285007285,-4.35917837748302,-0.0133656117621719,win,win
4886,validation,1.4615106360696024,-0.4256935216958091,-1.7180455182751164,1.0798724655367766,-0.0009952404962372,0.0888664320210683,-0.0195109089494377,-0.0133656117621719,lose,win
4887,test,-0.1602607381474834,1.2631750186362227,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,-0.362626212698422,-1.9920870310101568,-0.8620195025303578,lose,lose
4888,train,-0.1602607381474834,-1.295716709139583,-0.5757083435676256,1.0798724655367766,-1.3533280267834324,-1.9804748562765957,0.7695195398748498,-0.0133656117621719,lose,lose
4889,train,1.4615106360696024,-1.5260169646394055,-5.716225629751334,3.232646388910269,-0.0009952404962372,-0.1745042773986343,-0.4140261333615815,-0.8620195025303578,lose,lose
4890,train,-1.4077548504495816,-0.1442154316404702,-2.8603826929826077,1.0798724655367766,1.351337545790958,-0.0616311162187617,0.3750043154627059,-0.0133656117621719,lose,lose
4891,train,-0.1602607381474834,-0.1442154316404705,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,-1.2656115021374026,-0.0195109089494377,-0.0133656117621719,lose,lose
4892,test,0.5851763368188888,-0.0162708452516801,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,-0.5507481479982096,2.3475804375234253,-0.0133656117621719,lose,win
4893,train,-0.1602607381474834,0.7513966730810617,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,0.2393639802608984,-0.8085413577737254,-0.0133656117621719,lose,win
4894,test,-0.1602607381474834,1.2631750186362227,-0.0045397562138802,0.0034855038500306,-1.3533280267834324,1.1423492696998792,1.9530652131112811,-0.0133656117621719,win,win
4895,validation,1.4615106360696024,0.8281634249143357,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,1.2552224308797515,-0.0195109089494377,-0.0133656117621719,win,win
4896,test,-0.1602607381474834,-1.73072830286147,-0.0045397562138802,-1.0729014578367155,-1.3533280267834324,-0.4754993738782945,-0.4140261333615815,-0.8620195025303578,lose,lose
4897,validation,-0.1602607381474834,0.8281634249143358,-0.0045397562138802,-1.0729014578367155,-0.0009952404962372,0.1264908190810258,-1.597571806598013,0.835288279006014,lose,lose
4898,test,-0.1602607381474834,0.6234520866922713,-0.0045397562138802,1.0798724655367766,-0.0009952404962372,-1.0022407927177,-1.2030565821858692,0.835288279006014,lose,lose
4899,test,-0.1602607381474834,0.8281634249143358,-0.0045397562138802,0.0034855038500306,1.351337545790958,0.6908566249803888,-0.0195109089494377,0.835288279006014,win,win
