,w/l,fighter,kd,str,td,sub,weight class,method,round,time,date,w_fighter,l_fighter,w_kd,l_kd,w_str,l_str,w_td,l_td,w_sub,l_sub,w_win_perc,l_win_perc,w_win_strk,l_win_strk,w_lose_strk,l_lose_strk,ttime,w_wins,w_losses,w_draws,w_height,w_weight,w_reach,w_stance,w_age,w_slpm,w_str. acc.,w_sapm,w_str. def,w_td avg.,w_td acc.,w_td def.,w_sub. avg.,l_wins,l_losses,l_draws,l_height,l_weight,l_reach,l_stance,l_age,l_slpm,l_str. acc.,l_sapm,l_str. def,l_td avg.,l_td acc.,l_td def.,l_sub. avg.
2742,win,Daniel Omielanczuk:Aleksei Oleinik,0:0,26:8,1:4,0:2,Heavyweight,M-DEC:,3,5:00,2016-07-13,Daniel Omielanczuk,Aleksei Oleinik,0,0,26,8,1,4,0,2,0.6,1.0,2,2,0,0,15.0,19.0,8.0,1,182.88,111.15,187.96,Southpaw,40,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,60.0,1.0,-1,187.96,108.0,203.2,Orthodox,45,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9
2743,win,Keita Nakamura:Kyle Noke,1:0,41:44,0:2,1:0,Welterweight,SUB:Rear Naked Choke,2,4:59,2016-07-13,Keita Nakamura,Kyle Noke,1,0,41,44,0,2,1,0,0.2,0.6,0,0,1,1,9.983,34.0,1.0,-2,180.34,76.5,185.42000000000002,Southpaw,38,2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3,22.0,1.0,-1,185.42,76.5,193.04,Southpaw,42,3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8
2744,win,Louis Smolka:Ben Nguyen,0:0,82:4,3:0,7:1,Flyweight,KO/TKO:Elbows,2,4:41,2016-07-13,Louis Smolka,Ben Nguyen,0,0,82,4,3,0,7,1,0.8,1.0,3,2,0,0,9.683,17.0,9.0,0,175.26,60.75,172.72,Orthodox,31,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,16.0,8.0,0,165.1,56.25,165.1,Switch,34,3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0
2745,win,Katlyn Chookagian:Lauren Murphy,0:0,45:38,0:1,0:0,Women's Bantamweight,U-DEC:,3,5:00,2016-07-13,Katlyn Chookagian,Lauren Murphy,0,0,45,38,0,1,0,0,0,0.33,0,1,0,0,15.0,18.0,5.0,0,175.26,56.25,172.72,Orthodox,34,4.59,0.34,4.41,0.63,0.27,0.15,0.54,0.3,16.0,5.0,0,165.1,56.25,170.18,Orthodox,39,3.84,0.4,4.45,0.58,1.11,0.34,0.71,0.1
2746,win,Sam Alvey:Eric Spicely,0:0,8:7,0:0,1:0,Middleweight,SUB:Guillotine Choke,1,2:43,2016-07-13,Sam Alvey,Eric Spicely,0,0,8,7,0,0,1,0,0.5,0,0,0,2,0,2.717,33.0,1.0,-1,187.96,83.25,190.5,Southpaw,36,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1,12.0,6.0,0,185.42,83.25,185.42000000000002,Orthodox,36,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0
2747,win,Cortney Casey:Cristina Stanciu,0:0,19:5,2:0,0:0,Women's Strawweight,KO/TKO:Elbows,1,2:36,2016-07-13,Cortney Casey,Cristina Stanciu,0,0,19,5,2,0,0,0,0,0,0,0,2,1,2.6,10.0,1.0,-0,170.18,56.25,170.18,Orthodox,35,4.29,0.39,4.0,0.55,0.39,0.31,0.39,0.5,5.0,0.0,-0,160.02,51.75,163.95,Orthodox,28,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7
2748,win,Scott Holtzman:Cody Pfister,1:0,53:28,3:1,1:0,Lightweight,U-DEC:,3,5:00,2016-07-13,Scott Holtzman,Cody Pfister,1,0,53,28,3,1,1,0,0.5,0.33,0,0,1,1,15.0,14.0,5.0,0,175.26,69.75,175.26,Orthodox,39,4.32,0.48,3.58,0.53,2.07,0.56,0.66,0.2,13.0,6.0,1,177.8,69.75,185.42000000000002,Orthodox,32,1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0
2749,win,Rani Yahya:Matthew Lopez,0:0,40:14,3:1,1:2,Bantamweight,SUB:Arm Triangle,3,4:19,2016-07-13,Rani Yahya,Matthew Lopez,0,0,40,14,3,1,1,2,0.75,0,2,0,0,0,14.317,28.0,1.0,-1,167.64,60.75,170.18,Orthodox,38,1.58,0.38,1.76,0.5,2.9,0.33,0.24,1.9,10.0,4.0,0,170.18,60.75,175.26,Southpaw,35,3.13,0.5,3.73,0.55,3.32,0.6,0.71,1.3
2750,win,Alex Nicholson:Devin Clark,1:1,18:14,0:1,0:1,Middleweight,KO/TKO:Punch,1,4:57,2016-07-13,Alex Nicholson,Devin Clark,1,1,18,14,0,1,0,1,0,0,0,0,1,0,4.95,7.0,0.0,-0,193.04,83.25,195.58,Orthodox,32,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5,13.0,7.0,0,182.88,92.25,190.5,Orthodox,32,2.94,0.55,2.86,0.44,2.3,0.35,0.55,0.1
2751,win,Glover Teixeira:Anthony Smith,1:0,138:86,1:1,0:0,Light Heavyweight,KO/TKO:Punches,5,1:04,2020-05-13,Glover Teixeira,Anthony Smith,1,0,138,86,1,1,0,0,0.72,0.67,3,1,0,0,21.067,33.0,8.0,0,187.96,92.25,193.04,Orthodox,43,3.8,0.5,3.93,0.52,2.2,0.37,0.6,1.0,36.0,1.0,-0,193.04,92.25,193.04,Orthodox,34,2.99,0.47,4.37,0.42,0.44,0.27,0.48,0.7
2752,win,Ben Rothwell:Ovince Saint Preux,0:1,56:42,1:0,0:0,Heavyweight,S-DEC:,3,5:00,2020-05-13,Ben Rothwell,Ovince Saint Preux,0,1,56,42,1,0,0,0,0.54,0.6,1,1,0,0,15.0,39.0,1.0,-0,193.04,119.25,198.12,Orthodox,41,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4,26.0,1.0,-0,190.5,92.25,203.2,Southpaw,39,2.72,0.47,3.09,0.45,1.15,0.38,0.66,0.5
2753,win,Drew Dober:Alexander Hernandez,0:0,61:34,0:3,0:0,Lightweight,KO/TKO:Punches,2,4:25,2020-05-13,Drew Dober,Alexander Hernandez,0,0,61,34,0,3,0,0,0.62,0.75,2,1,0,0,9.417,25.0,1.0,-0,172.72,69.75,177.8,Southpaw,34,4.47,0.4,4.16,0.51,0.75,0.17,0.54,0.1,13.0,5.0,0,175.26,65.25,182.88,Orthodox,30,3.97,0.37,3.94,0.57,1.43,0.33,0.64,0.0
2754,win,Ricky Simon:Ray Borg,0:0,67:47,7:0,0:0,Bantamweight,S-DEC:,3,5:00,2020-05-13,Ricky Simon,Ray Borg,0,0,67,47,7,0,0,0,0.6,0.64,0,2,2,0,15.0,20.0,3.0,0,167.64,60.75,175.26,Orthodox,30,3.04,0.44,2.95,0.64,6.55,0.52,0.75,0.5,13.0,5.0,0,162.56,60.75,160.02,Orthodox,29,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0
2755,win,Andrei Arlovski:Philipe Lins,0:0,50:41,0:0,0:0,Heavyweight,U-DEC:,3,5:00,2020-05-13,Andrei Arlovski,Philipe Lins,0,0,50,41,0,0,0,0,0.57,0,0,0,1,0,15.0,34.0,2.0,-0,190.5,108.0,195.58,Orthodox,43,3.79,0.45,3.2,0.57,0.4,0.36,0.76,0.2,15.0,5.0,0,187.96,92.25,198.12,Orthodox,37,3.4,0.49,4.25,0.43,1.84,0.36,1.0,0.0
2756,win,Thiago Moises:Michael Johnson,0:0,1:27,0:0,1:0,Lightweight,SUB:Ankle Lock,2,0:25,2020-05-13,Thiago Moises,Michael Johnson,0,0,1,27,0,0,1,0,0.33,0.5,0,0,1,2,5.417,16.0,6.0,0,175.26,69.75,177.8,Orthodox,27,2.48,0.37,4.02,0.56,1.11,0.36,0.6,1.2,21.0,1.0,-0,177.8,69.75,185.42000000000002,Southpaw,36,4.2,0.38,3.91,0.58,0.5,0.43,0.79,0.1
2757,win,Sijara Eubanks:Sarah Moras,0:0,85:44,2:0,0:0,Women's Bantamweight,U-DEC:,3,5:00,2020-05-13,Sijara Eubanks,Sarah Moras,0,0,85,44,2,0,0,0,0.5,0.43,0,1,2,0,15.0,8.0,0.0,-0,162.56,56.25,170.18,Orthodox,37,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3,6.0,0.0,-0,170.18,60.75,170.18,Orthodox,34,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8
2758,win,Omar Morales:Gabriel Benitez,0:0,63:50,0:0,0:0,Lightweight,U-DEC:,3,5:00,2020-05-13,Omar Morales,Gabriel Benitez,0,0,63,50,0,0,0,0,1.0,0.62,1,0,0,1,15.0,11.0,3.0,0,180.34,69.75,185.42000000000002,Orthodox,37,3.47,0.38,3.12,0.61,0.54,1.0,0.63,0.0,23.0,1.0,-0,172.72,69.75,180.34,Southpaw,34,4.79,0.41,4.05,0.65,0.27,0.5,0.58,1.1
2759,win,Brian Kelleher:Hunter Azure,1:0,29:62,0:0,0:0,Featherweight,KO/TKO:Punch,2,3:40,2020-05-13,Brian Kelleher,Hunter Azure,1,0,29,62,0,0,0,0,0.57,1.0,1,1,0,0,8.667,24.0,1.0,-0,167.64,60.75,167.64000000000001,Switch,36,3.36,0.41,4.61,0.54,1.79,0.42,0.6,0.7,9.0,0.0,-0,172.72,65.25,175.26,Orthodox,30,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3
2760,win,Chase Sherman:Ike Villanueva,1:0,51:16,0:0,0:0,Heavyweight,KO/TKO:Elbow,2,0:49,2020-05-13,Chase Sherman,Ike Villanueva,1,0,51,16,0,0,0,0,0.29,0,0,0,3,0,5.817,16.0,1.0,-0,193.04,112.5,198.12,Orthodox,33,6.51,0.47,6.51,0.52,0.0,0.0,0.66,0.0,18.0,1.0,-0,185.42,92.25,185.42000000000002,Orthodox,38,3.66,0.38,7.24,0.36,0.6,0.5,1.0,0.0
2761,win,Jose Aldo:Frankie Edgar,0:0,76:60,0:2,0:0,Featherweight,U-DEC:,5,5:00,2013-02-02,Jose Aldo,Frankie Edgar,0,0,76,60,0,2,0,0,1.0,0.75,3,0,0,2,25.0,31.0,8.0,0,170.18,60.75,177.8,Orthodox,36,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1,23.0,1.0,-1,167.64,60.75,172.72,Orthodox,41,3.79,0.4,2.81,0.66,2.3,0.31,0.65,0.3
2762,win,Rogerio Nogueira:Rashad Evans,0:0,40:22,0:1,0:0,Light Heavyweight,U-DEC:,3,5:00,2013-02-02,Rogerio Nogueira,Rashad Evans,0,0,40,22,0,1,0,0,0.6,0.86,1,0,0,1,15.0,23.0,1.0,-0,187.96,92.25,190.5,Southpaw,46,2.43,0.35,2.34,0.59,0.64,0.44,0.62,0.8,19.0,8.0,1,182.88,92.25,190.5,Orthodox,43,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
2763,win,Antonio Silva:Alistair Overeem,1:0,21:51,0:1,0:0,Heavyweight,KO/TKO:Punches,3,0:25,2013-02-02,Antonio Silva,Alistair Overeem,1,0,21,51,0,1,0,0,0.5,1.0,1,1,0,0,10.417,19.0,1.0,-1,193.04,118.8,208.28,Orthodox,43,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,47.0,1.0,-0,193.04,119.25,203.2,Orthodox,42,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8
2764,win,Demian Maia:Jon Fitch,0:0,12:6,7:0,3:1,Welterweight,U-DEC:,3,5:00,2013-02-02,Demian Maia,Jon Fitch,0,0,12,6,7,0,3,1,0.73,0.88,2,1,0,0,15.0,28.0,1.0,-0,185.42,76.5,182.88,Southpaw,45,1.8,0.43,2.07,0.63,2.49,0.24,0.61,1.0,30.0,7.0,1,182.88,76.5,187.96,Orthodox,44,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8
2765,win,Joseph Benavidez:Ian McCall,0:0,57:40,0:1,0:0,Flyweight,U-DEC:,3,5:00,2013-02-02,Joseph Benavidez,Ian McCall,0,0,57,40,0,1,0,0,0.75,0,0,0,1,1,15.0,28.0,8.0,0,162.56,56.25,165.1,Southpaw,38,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,13.0,5.0,1,165.1,56.25,162.56,Orthodox,38,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0
2766,win,Evan Dunham:Gleison Tibau,0:0,91:37,0:2,0:1,Lightweight,S-DEC:,3,5:00,2013-02-02,Evan Dunham,Gleison Tibau,0,0,91,37,0,2,0,1,0.67,0.65,0,1,1,0,15.0,18.0,9.0,1,177.8,69.75,177.8,Southpaw,41,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,33.0,1.0,-0,177.8,69.75,180.34,Southpaw,39,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8
2767,win,Tyron Woodley:Jay Hieron,1:0,15:0,0:0,0:0,Welterweight,KO/TKO:Punch,1,0:36,2013-02-02,Tyron Woodley,Jay Hieron,1,0,15,0,0,0,0,0,0,0,0,0,0,3,0.6,19.0,7.0,1,175.26,76.5,187.96,Orthodox,40,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4,23.0,7.0,0,182.88,76.5,190.5,Orthodox,46,1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0
2768,win,Bobby Green:Jacob Volkmann,0:0,54:6,1:4,1:0,Lightweight,SUB:Rear Naked Choke,3,4:25,2013-02-02,Bobby Green,Jacob Volkmann,0,0,54,6,1,4,1,0,0,0.67,0,1,0,0,14.417,29.0,1.0,-1,177.8,69.75,180.34,Orthodox,36,5.88,0.52,3.65,0.62,1.34,0.38,0.72,0.3,19.0,7.0,0,175.26,69.75,180.34,Southpaw,42,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0
2769,win,Isaac Vallie-Flagg:Yves Edwards,0:0,76:58,0:1,0:0,Lightweight,S-DEC:,3,5:00,2013-02-02,Isaac Vallie-Flagg,Yves Edwards,0,0,76,58,0,1,0,0,0,0.62,0,1,0,0,15.0,16.0,7.0,1,172.72,69.75,177.8,Orthodox,44,5.56,0.47,5.6,0.45,0.2,0.12,0.58,0.0,42.0,2.0,-1,175.26,69.75,185.42000000000002,Southpaw,46,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
2770,win,Dustin Kimura:Chico Camus,0:0,16:23,0:1,5:0,Bantamweight,SUB:Rear Naked Choke,3,1:50,2013-02-02,Dustin Kimura,Chico Camus,0,0,16,23,0,1,5,0,0,1.0,0,1,0,0,11.833,11.0,3.0,0,170.18,60.75,180.34,Orthodox,33,1.33,0.21,3.82,0.51,0.93,0.37,0.5,2.2,17.0,7.0,0,167.64,56.25,167.64000000000001,Orthodox,37,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4
2771,win,Francisco Rivera:Edwin Figueroa,1:1,51:24,2:1,0:0,Bantamweight,KO/TKO:Punches,2,4:20,2013-02-02,Francisco Rivera,Edwin Figueroa,1,1,51,24,2,1,0,0,0.5,0.67,1,2,0,0,9.333,11.0,7.0,0,172.72,60.75,177.8,Orthodox,41,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,9.0,0.0,-0,170.18,60.75,175.26,Orthodox,38,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6
2772,win,Jacare Souza:Derek Brunson,1:0,9:8,0:0,0:0,Middleweight,KO/TKO:Kick,1,3:50,2018-01-27,Jacare Souza,Derek Brunson,1,0,9,8,0,0,0,0,0.78,0.75,0,2,1,0,3.833,26.0,1.0,-0,185.42,83.25,182.88,Orthodox,43,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3,23.0,8.0,0,185.42,83.25,195.58,Southpaw,38,3.5,0.47,2.84,0.52,3.23,0.33,0.89,0.6
2773,win,Andre Fili:Dennis Bermudez,0:0,80:103,4:1,0:0,Featherweight,S-DEC:,3,5:00,2018-01-27,Andre Fili,Dennis Bermudez,0,0,80,103,4,1,0,0,0.56,0.64,1,0,0,2,15.0,22.0,9.0,0,180.34,65.25,187.96,Orthodox,32,3.83,0.37,4.03,0.52,2.38,0.49,0.69,0.3,17.0,9.0,0,167.64,69.75,167.64000000000001,Orthodox,36,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1
2774,win,Gregor Gillespie:Jordan Rinaldi,0:0,34:7,1:0,0:0,Lightweight,KO/TKO:Punches,1,4:46,2018-01-27,Gregor Gillespie,Jordan Rinaldi,0,0,34,7,1,0,0,0,1.0,0.5,3,1,0,0,4.767,14.0,1.0,0,170.18,69.75,180.34,Orthodox,36,3.74,0.52,2.3,0.57,6.86,0.48,1.0,0.8,14.0,7.0,0,177.8,65.25,182.88,Orthodox,35,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2
2775,win,Drew Dober:Frank Camacho,0:0,145:106,0:3,0:0,Welterweight,U-DEC:,3,5:00,2018-01-27,Drew Dober,Frank Camacho,0,0,145,106,0,3,0,0,0.5,0.5,1,1,0,0,15.0,25.0,1.0,-0,172.72,69.75,177.8,Southpaw,34,4.47,0.4,4.16,0.51,0.75,0.17,0.54,0.1,22.0,1.0,-0,177.8,69.75,185.42000000000002,Orthodox,33,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0
2776,win,Bobby Green:Erik Koch,0:0,110:56,1:1,0:0,Lightweight,U-DEC:,3,5:00,2018-01-27,Bobby Green,Erik Koch,0,0,110,56,1,1,0,0,0.57,0.5,0,0,3,1,15.0,29.0,1.0,-1,177.8,69.75,180.34,Orthodox,36,5.88,0.52,3.65,0.62,1.34,0.38,0.72,0.3,16.0,6.0,0,177.8,76.5,180.34,Southpaw,34,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0
2777,win,Mirsad Bektic:Godofredo Pepey,1:0,12:5,0:0,0:0,Featherweight,KO/TKO:Punch,1,2:47,2018-01-27,Mirsad Bektic,Godofredo Pepey,1,0,12,5,0,0,0,0,0.8,0.5,0,0,1,1,2.783,13.0,4.0,0,172.72,65.25,177.8,Orthodox,31,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,13.0,6.0,0,170.18,65.25,185.42000000000002,Orthodox,35,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5
2778,win,Katlyn Chookagian:Mara Romero Borella,0:0,68:79,0:1,1:0,Women's Flyweight,U-DEC:,3,5:00,2018-01-27,Katlyn Chookagian,Mara Romero Borella,0,0,68,79,0,1,1,0,0.67,1.0,1,1,0,0,15.0,18.0,5.0,0,175.26,56.25,172.72,Orthodox,34,4.59,0.34,4.41,0.63,0.27,0.15,0.54,0.3,12.0,9.0,0,167.64,56.25,175.26,Orthodox,36,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2
2779,win,Randa Markos:Juliana Lima,0:0,46:18,2:1,0:0,Women's Strawweight,U-DEC:,3,5:00,2018-01-27,Randa Markos,Juliana Lima,0,0,46,18,2,1,0,0,0.43,0.5,0,0,1,1,15.0,11.0,1.0,-1,162.56,51.75,160.02,Orthodox,37,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2,9.0,0.0,-0,165.1,51.75,165.1,Orthodox,40,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0
2780,win,Ji Yeon Kim:Justine Kish,0:0,68:96,0:0,0:0,Women's Flyweight,S-DEC:,3,5:00,2018-01-27,Ji Yeon Kim,Justine Kish,0,0,68,96,0,0,0,0,0,0.67,0,0,1,1,15.0,9.0,0.0,-2,170.18,56.25,182.88,Orthodox,33,5.79,0.36,5.77,0.56,0.0,0.0,0.42,0.0,7.0,0.0,-0,165.1,56.25,162.56,Orthodox,34,4.51,0.48,4.59,0.57,0.87,0.33,0.5,0.1
2781,win,Vinc Pichel:Joaquim Silva,0:0,60:45,1:0,0:0,Lightweight,U-DEC:,3,5:00,2018-01-27,Vinc Pichel,Joaquim Silva,0,0,60,45,1,0,0,0,0.75,1.0,3,3,0,0,15.0,14.0,3.0,0,177.8,69.75,182.88,Orthodox,40,3.56,0.47,2.5,0.58,3.0,0.54,0.23,0.2,12.0,4.0,0,172.72,69.75,175.26,Southpaw,33,4.08,0.39,4.58,0.55,0.21,0.5,0.65,0.6
2782,win,Niko Price:George Sullivan,0:0,24:21,2:1,3:0,Welterweight,SUB:Rear Naked Choke,2,4:21,2018-01-27,Niko Price,George Sullivan,0,0,24,21,2,1,3,0,0.67,0.6,0,0,1,1,9.35,15.0,5.0,0,182.88,76.5,193.04,Orthodox,33,5.16,0.42,5.67,0.47,0.79,0.22,0.65,0.8,17.0,7.0,0,182.88,76.5,185.42000000000002,Orthodox,41,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7
2783,win,Cory Sandhagen:Austin Arnett,1:0,80:32,1:1,0:0,Featherweight,KO/TKO:Punches,2,3:48,2018-01-27,Cory Sandhagen,Austin Arnett,1,0,80,32,1,1,0,0,0,0,0,0,0,0,8.8,15.0,4.0,0,180.34,60.75,177.8,Switch,30,6.15,0.44,4.21,0.56,0.71,0.2,0.63,0.4,16.0,6.0,0,182.88,65.25,182.88,Orthodox,31,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
2784,win,Tony Ferguson:Rafael Dos Anjos,0:0,199:121,0:0,0:0,Lightweight,U-DEC:,5,5:00,2016-11-05,Tony Ferguson,Rafael Dos Anjos,0,0,199,121,0,0,0,0,0.92,0.7,8,0,0,1,25.0,26.0,8.0,0,180.34,69.75,193.04,Orthodox,38,5.07,0.45,3.95,0.58,0.44,0.41,0.66,1.0,31.0,1.0,-0,172.72,69.75,177.8,Southpaw,38,3.58,0.46,3.23,0.61,1.96,0.34,0.59,0.5
