,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,date
4010,win,Joe Riggs:Nick Diaz,0:1,51:38,3:0,0:1,Welterweight,U-DEC:,3,5:00,"February 04, 2006"
4011,win,Alessio Sakara:Elvis Sinosic,0:0,70:13,9:0,0:0,Light Heavyweight,U-DEC:,3,5:00,"February 04, 2006"
4012,win,Paul Buentello:Gilbert Aldana,0:0,49:28,1:0,1:0,Heavyweight,KO/TKO:Punches,2,2:27,"February 04, 2006"
4013,win,Jeff Monson:Branden Lee Hinkle,0:0,10:5,1:0,1:1,Heavyweight,SUB:North-South Choke,1,4:35,"February 04, 2006"
4014,win,Keith Jardine:Mike Whitehead,0:0,44:27,0:5,0:0,Light Heavyweight,U-DEC:,3,5:00,"February 04, 2006"
4015,win,Anthony Pettis:Benson Henderson,0:0,9:11,0:0,1:0,Lightweight,SUB:Armbar,1,4:41,"August 31, 2013"
4016,win,Josh Barnett:Frank Mir,1:0,26:9,0:0,0:0,Heavyweight,KO/TKO:Knee,1,1:56,"August 31, 2013"
4017,win,Chad Mendes:Clay Guida,1:0,32:17,3:0,1:0,Featherweight,KO/TKO:Punch,3,0:30,"August 31, 2013"
4018,win,Ben Rothwell:Brandon Vera,1:0,56:41,0:0,0:0,Heavyweight,KO/TKO:Punches,3,1:54,"August 31, 2013"
4019,win,Dustin Poirier:Erik Koch,2:0,54:32,2:0,2:5,Featherweight,U-DEC:,3,5:00,"August 31, 2013"
4020,win,Gleison Tibau:Jamie Varner,0:0,26:37,2:1,0:1,Lightweight,S-DEC:,3,5:00,"August 31, 2013"
4021,win,Tim Elliott:Louis Gaudinot,0:0,116:28,6:0,2:0,Flyweight,U-DEC:,3,5:00,"August 31, 2013"
4022,win,Hyun Gyu Lim:Pascal Krauss,2:0,26:21,1:0,0:0,Welterweight,KO/TKO:Knee,1,3:58,"August 31, 2013"
4023,win,Chico Camus:Kyung Ho Kang,0:0,28:18,0:3,1:0,Bantamweight,U-DEC:,3,5:00,"August 31, 2013"
4024,win,Soa Palelei:Nikita Krylov,0:0,29:45,4:0,0:2,Heavyweight,KO/TKO:Punches,3,1:34,"August 31, 2013"
4025,win,Al Iaquinta:Ryan Couture,0:0,80:45,4:0,0:0,Lightweight,U-DEC:,3,5:00,"August 31, 2013"
4026,win,Magnus Cedenblad:Jared Hamman,0:0,4:3,0:0,1:0,Middleweight,SUB:Guillotine Choke,1,0:57,"August 31, 2013"
4027,win,Cody Garbrandt:Thomas Almeida,1:0,21:10,0:0,0:0,Bantamweight,KO/TKO:Punches,1,2:53,"May 29, 2016"
4028,win,Jeremy Stephens:Renan Barao,0:0,55:43,0:2,0:0,Featherweight,U-DEC:,3,5:00,"May 29, 2016"
4029,win,Rick Story:Tarec Saffiedine,0:0,58:32,0:0,0:0,Welterweight,U-DEC:,3,5:00,"May 29, 2016"
4030,win,Chris Camozzi:Vitor Miranda,0:0,43:27,1:1,0:0,Middleweight,U-DEC:,3,5:00,"May 29, 2016"
4031,win,Lorenz Larkin:Jorge Masvidal,0:0,44:48,1:1,0:2,Welterweight,S-DEC:,3,5:00,"May 29, 2016"
4032,win,Paul Felder:Joshua Burkman,0:0,41:40,0:3,0:0,Lightweight,U-DEC:,3,5:00,"May 29, 2016"
4033,win,Sara McMann:Jessica Eye,0:0,22:10,2:0,1:0,Women's Bantamweight,U-DEC:,3,5:00,"May 29, 2016"
4034,win,Abel Trujillo:Jordan Rinaldi,0:0,35:18,3:2,0:1,Lightweight,U-DEC:,3,5:00,"May 29, 2016"
4035,win,Jake Collier:Alberto Uda,1:0,27:15,1:1,0:0,Middleweight,KO/TKO:Spinning Back Kick,2,1:06,"May 29, 2016"
4036,win,Erik Koch:Shane Campbell,0:0,14:16,2:0,1:0,Lightweight,SUB:Rear Naked Choke,2,3:02,"May 29, 2016"
4037,win,Bryan Caraway:Aljamain Sterling,0:0,9:32,3:1,0:2,Bantamweight,S-DEC:,3,5:00,"May 29, 2016"
4038,win,Adam Milstead:Chris de la Rocha,0:0,58:39,0:0,0:0,Heavyweight,KO/TKO:Punches,2,4:01,"May 29, 2016"
4039,win,Anthony Smith:Devin Clark,0:0,1:1,1:0,1:0,Light Heavyweight,SUB:Triangle Choke,1,2:34,"November 28, 2020"
4040,win,Miguel Baeza:Takashi Sato,0:0,40:15,1:0,1:0,Welterweight,SUB:Arm Triangle,2,4:28,"November 28, 2020"
4041,win,Parker Porter:Josh Parisian,0:0,126:114,2:0,1:0,Heavyweight,U-DEC:,3,5:00,"November 28, 2020"
4042,win,Bill Algeo:Spike Carlyle,0:0,70:23,1:4,0:1,Featherweight,U-DEC:,3,5:00,"November 28, 2020"
4043,win,Norma Dumont:Ashlee Evans-Smith,1:0,94:42,2:0,0:0,Women's Bantamweight,U-DEC:,3,5:00,"November 28, 2020"
4044,win,Jonathan Pearce:Kai Kamaka,0:0,51:47,5:1,1:1,Featherweight,KO/TKO:Punches,2,4:28,"November 28, 2020"
4045,win,Anderson Dos Santos:Martin Day,0:0,11:9,1:1,1:0,Bantamweight,SUB:Guillotine Choke,1,4:35,"November 28, 2020"
4046,win,Gina Mazany:Rachael Ostovich,1:0,72:41,7:0,1:0,Women's Flyweight,KO/TKO:Kick,3,4:10,"November 28, 2020"
4047,win,Sumudaerji:Malcolm Gordon,1:0,9:0,0:0,0:0,Flyweight,KO/TKO:Punches,1,0:44,"November 28, 2020"
4048,win,Nate Maness:Luke Sanders,1:0,33:55,1:0,1:0,Catch Weight,SUB:Rear Naked Choke,2,2:29,"November 28, 2020"
4049,win,Demetrious Johnson:Kyoji Horiguchi,0:0,66:31,14:1,1:0,Flyweight,SUB:Armbar,5,4:59,"April 25, 2015"
4050,win,Quinton Jackson:Fabio Maldonado,0:0,99:67,0:1,0:0,Catch Weight,U-DEC:,3,5:00,"April 25, 2015"
4051,win,Michael Bisping:CB Dollaway,0:1,75:47,0:2,0:0,Middleweight,U-DEC:,3,5:00,"April 25, 2015"
4052,win,John Makdessi:Shane Campbell,2:0,47:25,0:0,0:0,Catch Weight,KO/TKO:Punch,1,4:53,"April 25, 2015"
4053,win,Thomas Almeida:Yves Jabouin,0:0,31:20,0:1,0:0,Bantamweight,KO/TKO:Punches,1,4:18,"April 25, 2015"
4054,win,Patrick Cote:Joe Riggs,0:0,21:21,3:2,1:0,Welterweight,U-DEC:,3,5:00,"April 25, 2015"
4055,win,Alexis Davis:Sarah Kaufman,0:0,34:65,1:0,1:0,Women's Bantamweight,SUB:Armbar,2,3:07,"April 25, 2015"
4056,win,Chad Laprise:Bryan Barberena,0:0,84:94,0:1,0:0,Lightweight,U-DEC:,3,5:00,"April 25, 2015"
4057,win,Olivier Aubin-Mercier:David Michaud,1:0,49:17,3:0,1:0,Lightweight,SUB:Rear Naked Choke,3,1:35,"April 25, 2015"
4058,win,Nordine Taleb:Chris Clements,0:0,36:17,6:0,0:1,Welterweight,U-DEC:,3,5:00,"April 25, 2015"
4059,win,Valerie Letourneau:Jessica Rakoczy,0:0,38:46,2:1,2:1,Women's Strawweight,U-DEC:,3,5:00,"April 25, 2015"
4060,win,Randa Markos:Aisling Daly,0:0,18:27,2:2,1:1,Women's Strawweight,U-DEC:,3,5:00,"April 25, 2015"
4061,win,Kevin Lee:Michael Chiesa,0:0,22:4,1:0,1:0,Lightweight,SUB:Rear Naked Choke,1,4:37,"June 25, 2017"
4062,win,Tim Boetsch:Johny Hendricks,0:0,41:10,0:0,0:0,Middleweight,KO/TKO:Punches,2,0:46,"June 25, 2017"
4063,win,Felice Herrig:Justine Kish,0:0,47:40,2:0,1:0,Women's Strawweight,U-DEC:,3,5:00,"June 25, 2017"
4064,win,Dominick Reyes:Joachim Christensen,1:0,13:1,0:0,0:0,Light Heavyweight,KO/TKO:Punches,1,0:29,"June 25, 2017"
4065,win,Tim Means:Alex Garcia,0:0,64:32,0:0,0:0,Welterweight,U-DEC:,3,5:00,"June 25, 2017"
4066,win,Dennis Siver:BJ Penn,0:1,103:57,0:0,0:0,Featherweight,M-DEC:,3,5:00,"June 25, 2017"
4067,win,Clay Guida:Erik Koch,0:0,38:13,2:0,0:0,Lightweight,U-DEC:,3,5:00,"June 25, 2017"
4068,win,Marvin Vettori:Vitor Miranda,0:0,69:51,3:0,0:0,Middleweight,U-DEC:,3,5:00,"June 25, 2017"
4069,win,Carla Esparza:Maryna Moroz,0:0,40:38,6:0,0:1,Women's Strawweight,U-DEC:,3,5:00,"June 25, 2017"
4070,win,Darrell Horcher:Devin Powell,0:0,37:43,0:0,2:2,Lightweight,S-DEC:,3,5:00,"June 25, 2017"
4071,win,Jared Gordon:Michel Quinones,0:0,67:16,4:0,0:0,Featherweight,KO/TKO:Punches,2,4:24,"June 25, 2017"
4072,win,Anthony Rocco Martin:Johnny Case,0:0,82:92,1:0,1:0,Lightweight,U-DEC:,3,5:00,"June 25, 2017"
4073,win,Jeremy Kimball:Josh Stansbury,1:0,17:4,0:0,0:0,Light Heavyweight,KO/TKO:Punches,1,1:21,"June 25, 2017"
4074,win,Nate Diaz:Gray Maynard,0:0,33:5,0:1,0:0,Lightweight,KO/TKO:Punches,1,2:38,"November 30, 2013"
4075,win,Julianna Pena:Jessica Rakoczy,0:0,33:4,2:0,0:0,Women's Bantamweight,KO/TKO:Punches,1,4:59,"November 30, 2013"
4076,win,Chris Holdsworth:Davey Grant,0:0,15:18,1:0,1:0,Bantamweight,SUB:Rear Naked Choke,2,2:10,"November 30, 2013"
4077,win,Jessamyn Duke:Peggy Morgan,0:0,123:34,1:0,3:0,Women's Bantamweight,U-DEC:,3,5:00,"November 30, 2013"
4078,win,Raquel Pennington:Roxanne Modafferi,0:0,80:42,1:0,1:0,Women's Bantamweight,U-DEC:,3,5:00,"November 30, 2013"
4079,win,Akira Corassani:Maximo Blanco,0:0,1:5,0:1,0:0,Featherweight,DQ:,1,0:25,"November 30, 2013"
4080,win,Tom Niinimaki:Rani Yahya,0:0,17:15,4:2,0:4,Featherweight,S-DEC:,3,5:00,"November 30, 2013"
4081,win,Jared Rosholt:Walt Harris,0:2,33:18,1:0,0:0,Heavyweight,U-DEC:,3,5:00,"November 30, 2013"
4082,win,Sean Spencer:Drew Dober,0:0,105:61,0:0,0:0,Welterweight,U-DEC:,3,5:00,"November 30, 2013"
4083,win,Josh Sampo:Ryan Benoit,0:0,28:18,2:0,5:1,Flyweight,SUB:Rear Naked Choke,2,4:31,"November 30, 2013"
4084,win,Don Frye:David Abbott,0:0,6:13,0:0,2:0,Open Weight,SUB:Rear Naked Choke,1,1:22,"December 07, 1996"
4085,win,David Abbott:Steve Nelmark,1:0,9:2,1:0,0:0,Open Weight,KO/TKO:Punch,1,1:03,"December 07, 1996"
4086,win,Don Frye:Mark Hall,0:0,0:0,0:0,1:0,Open Weight,SUB:Ankle Lock,1,0:20,"December 07, 1996"
4087,win,Ken Shamrock:Brian Johnston,0:0,22:1,1:0,1:0,Open Weight,SUB:Forearm Choke,1,5:48,"December 07, 1996"
4088,win,Kimo Leopoldo:Paul Varelans,0:0,9:21,0:0,0:0,Open Weight,KO/TKO:Punches,1,9:08,"December 07, 1996"
4089,win,David Abbott:Cal Worsham,0:0,4:5,0:0,1:0,Open Weight,KO/TKO:Punches,1,2:51,"December 07, 1996"
4090,win,Don Frye:Gary Goodridge,0:0,16:14,0:1,0:0,Open Weight,SUB:Other,1,11:19,"December 07, 1996"
4091,win,Tai Bowden:Jack Nilson,--:--,--:--,--:--,--:--,Open Weight,KO/TKO:Headbutts,1,4:46,"December 07, 1996"
4092,win,Steve Nelmark:Marcus Bossett,--:--,--:--,--:--,--:--,Open Weight,SUB:Shoulder Choke,1,1:37,"December 07, 1996"
4093,win,Mark Hall:Felix Lee Mitchell,--:--,--:--,--:--,--:--,Open Weight,KO/TKO:,1,1:45,"December 07, 1996"
4094,win,Court McGee:Kris McCray,0:0,22:19,5:0,1:0,Middleweight,SUB:Rear Naked Choke,2,3:41,"June 19, 2010"
4095,win,Matt Hamill:Keith Jardine,0:0,77:65,2:0,0:0,Light Heavyweight,M-DEC:,3,5:00,"June 19, 2010"
4096,win,Chris Leben:Aaron Simpson,0:0,42:43,0:2,0:1,Middleweight,KO/TKO:Punches,2,4:17,"June 19, 2010"
4097,win,Dennis Siver:Spencer Fisher,0:0,77:52,0:0,0:0,Lightweight,U-DEC:,3,5:00,"June 19, 2010"
4098,win,Rich Attonito:Jamie Yager,0:0,24:29,1:0,0:0,Middleweight,KO/TKO:Punches,2,4:25,"June 19, 2010"
4099,win,John Gunderson:Mark Holst,0:0,31:2,4:1,0:3,Lightweight,U-DEC:,3,5:00,"June 19, 2010"
4100,win,Brad Tavares:Seth Baczynski,0:0,18:22,3:0,0:3,Middleweight,U-DEC:,3,5:00,"June 19, 2010"
4101,win,Kyle Noke:Josh Bryant,1:0,50:9,0:0,0:0,Middleweight,KO/TKO:Punches,2,3:12,"June 19, 2010"
4102,win,Chris Camozzi:James Hammortree,0:0,62:29,0:2,0:1,Middleweight,U-DEC:,3,5:00,"June 19, 2010"
4103,win,Travis Browne:James McSweeney,1:0,19:6,0:0,1:0,Heavyweight,KO/TKO:Punches,1,4:32,"June 19, 2010"
4104,win,Jacare Souza:Gegard Mousasi,0:0,32:26,4:0,1:0,Middleweight,SUB:Guillotine Choke,3,4:30,"September 05, 2014"
4105,win,Ben Rothwell:Alistair Overeem,1:0,17:20,0:0,0:0,Heavyweight,KO/TKO:Punch,1,2:19,"September 05, 2014"
4106,win,Matt Mitrione:Derrick Lewis,0:0,7:1,0:0,0:0,Heavyweight,KO/TKO:Punches,1,0:41,"September 05, 2014"
4107,win,Joe Lauzon:Michael Chiesa,0:0,21:30,2:1,0:0,Lightweight,KO/TKO:,2,2:14,"September 05, 2014"
4108,win,John Moraga:Justin Scoggins,0:0,4:13,0:3,3:0,Flyweight,SUB:Guillotine Choke,2,0:47,"September 05, 2014"
4109,win,Al Iaquinta:Rodrigo Damm,1:0,93:57,0:0,0:0,Lightweight,KO/TKO:Elbows,3,2:26,"September 05, 2014"
4110,win,Rafael Natal:Chris Camozzi,0:0,36:67,2:0,0:0,Middleweight,S-DEC:,3,5:00,"September 05, 2014"
4111,win,Chris Beal:Tateki Matsuda,0:0,45:41,3:0,1:0,Bantamweight,U-DEC:,3,5:00,"September 05, 2014"
4112,win,Chas Skelly:Sean Soriano,0:0,13:24,4:0,7:0,Featherweight,U-DEC:,3,5:00,"September 05, 2014"
4113,win,Michelle Waterson-Gomez:Angela Hill,0:0,128:131,1:0,0:0,Women's Strawweight,S-DEC:,5,5:00,"September 12, 2020"
4114,win,Ottman Azaitar:Khama Worthy,0:0,16:1,0:0,0:0,Lightweight,KO/TKO:Punches,1,1:33,"September 12, 2020"
4115,win,Roxanne Modafferi:Andrea Lee,0:0,60:97,4:3,0:0,Women's Flyweight,U-DEC:,3,5:00,"September 12, 2020"
4116,win,Ed Herman:Mike Rodriguez,0:2,40:89,2:0,1:0,Light Heavyweight,SUB:Kimura,3,2:41,"September 12, 2020"
4117,win,Bobby Green:Alan Patrick,0:0,61:19,4:1,0:0,Lightweight,U-DEC:,3,5:00,"September 12, 2020"
4118,win,Billy Quarantillo:Kyle Nelson,1:0,79:56,2:0,0:0,Featherweight,KO/TKO:Punch,3,0:07,"September 12, 2020"
4119,win,Sijara Eubanks:Julia Avila,0:0,53:34,3:1,3:0,Women's Bantamweight,U-DEC:,3,5:00,"September 12, 2020"
4120,nc:nc,Roosevelt Roberts:Kevin Croom,0:1,2:5,0:0,0:1,Lightweight,Overturned:Guillotine Choke,1,0:31,"September 12, 2020"
4121,win,Alexandr Romanov:Roque Martinez,0:0,55:7,4:0,2:0,Heavyweight,SUB:Arm Triangle,2,4:22,"September 12, 2020"
4122,win,Jalin Turner:Brok Weaver,2:0,66:56,1:1,1:0,Catch Weight,SUB:Rear Naked Choke,2,4:20,"September 12, 2020"
4123,win,Bryan Barberena:Anthony Ivy,0:0,63:36,0:5,2:0,Welterweight,U-DEC:,3,5:00,"September 12, 2020"
4124,win,Sabina Mazo:Justine Kish,1:0,131:93,0:1,1:0,Women's Flyweight,SUB:Rear Naked Choke,3,3:57,"September 12, 2020"
4125,win,TJ Dillashaw:Renan Barao,2:0,140:64,0:0,2:0,Bantamweight,KO/TKO:Punches,5,2:26,"May 24, 2014"
4126,win,Daniel Cormier:Dan Henderson,0:0,50:6,3:0,2:0,Light Heavyweight,SUB:Rear Naked Choke,3,3:53,"May 24, 2014"
4127,win,Robbie Lawler:Jake Ellenberger,1:0,68:29,0:2,0:0,Welterweight,KO/TKO:Knee,3,3:06,"May 24, 2014"
4128,win,Takeya Mizugaki:Francisco Rivera,1:0,35:41,0:3,0:1,Bantamweight,U-DEC:,3,5:00,"May 24, 2014"
4129,win,James Krause:Jamie Varner,0:0,22:7,0:1,0:0,Lightweight,KO/TKO:,1,5:00,"May 24, 2014"
4130,win,Michael Chiesa:Francisco Trinaldo,0:0,19:13,2:0,0:1,Lightweight,U-DEC:,3,5:00,"May 24, 2014"
4131,win,Tony Ferguson:Katsunori Kikuno,1:0,38:22,1:0,1:0,Lightweight,KO/TKO:Punch,1,4:06,"May 24, 2014"
4132,win,Chris Holdsworth:Chico Camus,0:0,26:25,4:0,2:0,Bantamweight,U-DEC:,3,5:00,"May 24, 2014"
4133,win,Mitch Clarke:Al Iaquinta,0:0,8:13,0:1,1:2,Lightweight,SUB:D'Arce Choke,2,0:57,"May 24, 2014"
4134,win,Vinc Pichel:Anthony Njokuani,0:0,57:24,8:0,0:0,Lightweight,U-DEC:,3,5:00,"May 24, 2014"
4135,win,Sam Sicilia:Aaron Phillips,0:0,37:18,5:0,1:1,Featherweight,U-DEC:,3,5:00,"May 24, 2014"
4136,win,Li Jingliang:David Michaud,0:0,61:41,2:3,0:2,Welterweight,S-DEC:,3,5:00,"May 24, 2014"
4137,win,Chuck Liddell:Vitor Belfort,1:0,43:20,0:3,0:0,Light Heavyweight,U-DEC:,3,5:00,"June 22, 2002"
4138,win,Benji Radach:Nick Serra,1:0,26:0,0:1,0:2,Welterweight,U-DEC:,3,5:00,"June 22, 2002"
4139,win,Pete Spratt:Zach Light,0:0,3:2,0:1,1:0,Welterweight,SUB:Armbar,1,2:25,"June 22, 2002"
4140,win,Robbie Lawler:Steve Berger,1:0,28:11,1:1,0:0,Welterweight,KO/TKO:Punch,2,0:27,"June 22, 2002"
4141,win,Tony Fryklund:Rodrigo Ruas,1:0,60:11,0:0,1:0,Middleweight,KO/TKO:Punches,2,3:34,"June 22, 2002"
4142,win,Yves Edwards:Joao Pierini,0:0,6:1,0:0,0:0,Lightweight,KO/TKO:,1,1:19,"June 22, 2002"
4143,win,Chan Sung Jung:Dan Ige,0:0,92:80,3:0,3:0,Featherweight,U-DEC:,5,5:00,"June 19, 2021"
4144,win,Serghei Spivac:Aleksei Oleinik,0:0,71:59,0:1,0:1,Heavyweight,U-DEC:,3,5:00,"June 19, 2021"
4145,win,Marlon Vera:Davey Grant,0:0,105:83,2:1,3:0,Bantamweight,U-DEC:,3,5:00,"June 19, 2021"
4146,win,SeungWoo Choi:Julian Erosa,1:0,13:10,0:0,0:0,Featherweight,KO/TKO:Punch,1,1:37,"June 19, 2021"
4147,win,Bruno Silva:Wellington Turman,0:0,19:1,0:0,0:0,Middleweight,KO/TKO:Punches,1,4:45,"June 19, 2021"
4148,win,Matt Brown:Dhiego Lima,1:0,27:23,0:0,0:0,Welterweight,KO/TKO:Punch,2,3:02,"June 19, 2021"
4149,win,Nicolae Negumereanu:Aleksa Camur,0:0,71:102,1:0,0:0,Light Heavyweight,S-DEC:,3,5:00,"June 19, 2021"
4150,win,Virna Jandiroba:Kanako Murata,0:0,36:23,0:0,1:0,Women's Strawweight,KO/TKO:,2,5:00,"June 19, 2021"
4151,win,Khaos Williams:Matthew Semelsberger,0:0,91:64,0:0,0:0,Welterweight,U-DEC:,3,5:00,"June 19, 2021"
4152,win,Josh Parisian:Roque Martinez,0:0,79:64,1:0,0:1,Heavyweight,S-DEC:,3,5:00,"June 19, 2021"
4153,win,Ricky Glenn:Joaquim Silva,2:0,10:1,0:0,0:0,Lightweight,KO/TKO:Punches,1,0:37,"June 19, 2021"
4154,win,Casey O'Neill:Lara Procopio,0:0,71:41,1:2,2:0,Women's Flyweight,SUB:Rear Naked Choke,3,2:54,"June 19, 2021"
4155,win,Jessica Andrade:Rose Namajunas,0:1,47:55,2:0,0:1,Women's Strawweight,KO/TKO:Slam,2,2:58,"May 11, 2019"
4156,win,Jared Cannonier:Anderson Silva,1:0,17:8,0:0,0:0,Middleweight,KO/TKO:Kick,1,4:47,"May 11, 2019"
4157,win,Alexander Volkanovski:Jose Aldo,0:0,95:29,0:0,0:0,Featherweight,U-DEC:,3,5:00,"May 11, 2019"
4158,win,Laureano Staropoli:Thiago Alves,0:0,54:58,1:1,0:0,Welterweight,U-DEC:,3,5:00,"May 11, 2019"
4159,win,Irene Aldana:Bethe Correia,0:0,83:81,0:0,1:0,Women's Bantamweight,SUB:Armbar,3,3:24,"May 11, 2019"
4160,win,Ryan Spann:Rogerio Nogueira,1:0,13:6,1:0,1:0,Light Heavyweight,KO/TKO:Punch,1,2:07,"May 11, 2019"
4161,win,Thiago Moises:Kurt Holobaugh,0:0,66:39,4:2,1:0,Lightweight,U-DEC:,3,5:00,"May 11, 2019"
4162,win,Warlley Alves:Sergio Moraes,1:0,72:20,0:0,0:0,Welterweight,KO/TKO:Punch,3,4:13,"May 11, 2019"
4163,win,Clay Guida:BJ Penn,0:0,80:64,1:0,0:0,Lightweight,U-DEC:,3,5:00,"May 11, 2019"
4164,win,Luana Carolina:Priscila Cachoeira,1:0,111:69,0:0,3:0,Women's Flyweight,U-DEC:,3,5:00,"May 11, 2019"
4165,win,Raoni Barcelos:Carlos Huachin,1:0,59:20,0:0,1:0,Bantamweight,KO/TKO:Elbows,2,4:49,"May 11, 2019"
4166,win,Viviane Araujo:Talita Bernardo,1:0,61:46,3:0,0:0,Women's Bantamweight,KO/TKO:Punch,3,0:48,"May 11, 2019"
4167,win,Leon Edwards:Rafael Dos Anjos,0:0,92:81,3:0,0:0,Welterweight,U-DEC:,5,5:00,"July 20, 2019"
4168,win,Walt Harris:Aleksei Oleinik,1:0,4:1,0:0,0:0,Heavyweight,KO/TKO:Punch,1,0:12,"July 20, 2019"
4169,win,Greg Hardy:Juan Adams,0:0,36:3,0:0,0:0,Heavyweight,KO/TKO:Punches,1,0:45,"July 20, 2019"
4170,win,Dan Hooker:James Vick,1:0,22:7,0:0,0:0,Lightweight,KO/TKO:Punch,1,2:33,"July 20, 2019"
4171,win,Alexander Hernandez:Francisco Trinaldo,0:0,25:25,0:0,0:0,Lightweight,U-DEC:,3,5:00,"July 20, 2019"
4172,win,Andrei Arlovski:Ben Rothwell,0:0,152:70,0:0,0:0,Heavyweight,U-DEC:,3,5:00,"July 20, 2019"
4173,win,Alex Caceres:Steven Peterson,0:0,94:67,0:2,0:0,Featherweight,U-DEC:,3,5:00,"July 20, 2019"
4174,win,Raquel Pennington:Irene Aldana,0:0,47:52,1:0,0:0,Women's Bantamweight,S-DEC:,3,5:00,"July 20, 2019"
4175,win,Klidson Abreu:Sam Alvey,0:0,36:28,1:0,0:0,Light Heavyweight,U-DEC:,3,5:00,"July 20, 2019"
4176,win,Jennifer Maia:Roxanne Modafferi,0:0,83:29,0:0,0:0,Women's Flyweight,U-DEC:,3,5:00,"July 20, 2019"
4177,win,Ray Borg:Gabriel Silva,0:0,15:8,6:1,1:0,Bantamweight,U-DEC:,3,5:00,"July 20, 2019"
4178,win,Mario Bautista:Jin Soo Son,0:0,129:95,0:2,0:0,Bantamweight,U-DEC:,3,5:00,"July 20, 2019"
4179,win,Felipe Colares:Domingo Pilarte,0:0,23:11,2:2,0:1,Bantamweight,S-DEC:,3,5:00,"July 20, 2019"
4180,win,Max Holloway:Jose Aldo,0:0,174:87,0:0,0:0,Featherweight,KO/TKO:Punches,3,4:51,"December 02, 2017"
4181,win,Francis Ngannou:Alistair Overeem,1:0,6:1,0:0,0:0,Heavyweight,KO/TKO:Punch,1,1:42,"December 02, 2017"
4182,win,Henry Cejudo:Sergio Pettis,0:0,36:25,3:0,0:0,Flyweight,U-DEC:,3,5:00,"December 02, 2017"
4183,win,Eddie Alvarez:Justin Gaethje,1:0,155:122,1:0,0:0,Lightweight,KO/TKO:Knee,3,3:59,"December 02, 2017"
4184,win,Tecia Torres:Michelle Waterson-Gomez,0:0,95:56,1:2,0:0,Women's Strawweight,U-DEC:,3,5:00,"December 02, 2017"
4185,win,Paul Felder:Charles Oliveira,0:0,31:6,0:2,0:2,Lightweight,KO/TKO:Elbows,2,4:06,"December 02, 2017"
4186,win,Yancy Medeiros:Alex Oliveira,2:2,75:93,1:2,0:0,Welterweight,KO/TKO:Punches,3,2:02,"December 02, 2017"
4187,win,David Teymur:Drakkar Klose,0:0,52:39,1:2,0:0,Lightweight,U-DEC:,3,5:00,"December 02, 2017"
4188,win,Felice Herrig:Cortney Casey,0:0,76:91,1:0,0:0,Women's Strawweight,S-DEC:,3,5:00,"December 02, 2017"
4189,win,Amanda Cooper:Angela Magana,0:0,40:12,1:0,1:0,Women's Strawweight,KO/TKO:Punches,2,4:34,"December 02, 2017"
4190,win,Abdul Razak Alhassan:Sabah Homasi,1:0,27:39,1:0,0:0,Welterweight,KO/TKO:Punches,1,4:21,"December 02, 2017"
4191,win,Dominick Reyes:Jeremy Kimball,0:0,16:4,1:1,1:0,Light Heavyweight,SUB:Rear Naked Choke,1,3:39,"December 02, 2017"
4192,win,Justin Willis:Allen Crowder,1:0,22:15,0:0,0:0,Heavyweight,KO/TKO:Punch,1,2:33,"December 02, 2017"
4193,win,Chris Weidman:Kelvin Gastelum,0:1,36:26,7:0,2:0,Middleweight,SUB:Arm Triangle,3,3:45,"July 22, 2017"
4194,win,Darren Elkins:Dennis Bermudez,0:0,70:69,3:1,2:0,Featherweight,S-DEC:,3,5:00,"July 22, 2017"
4195,win,Patrick Cummins:Gian Villante,0:0,86:72,1:0,0:0,Light Heavyweight,S-DEC:,3,5:00,"July 22, 2017"
4196,win,Jimmie Rivera:Thomas Almeida,2:0,70:72,2:0,0:0,Bantamweight,U-DEC:,3,5:00,"July 22, 2017"
4197,win,Elizeu Zaleski dos Santos:Lyman Good,0:0,83:75,1:1,0:0,Welterweight,S-DEC:,3,5:00,"July 22, 2017"
4198,win,Eryk Anders:Rafael Natal,1:0,23:14,1:0,0:0,Middleweight,KO/TKO:Punch,1,2:54,"July 22, 2017"
4199,win,Alex Oliveira:Ryan LaFlare,1:0,8:5,0:0,1:0,Welterweight,KO/TKO:Punch,2,1:50,"July 22, 2017"
4200,win,Chase Sherman:Damian Grabowski,0:0,111:68,0:0,0:0,Heavyweight,U-DEC:,3,5:00,"July 22, 2017"
4201,win,Jeremy Kennedy:Kyle Bochniak,0:0,41:23,8:0,0:0,Featherweight,U-DEC:,3,5:00,"July 22, 2017"
4202,win,Marlon Vera:Brian Kelleher,0:0,5:8,0:1,2:0,Bantamweight,SUB:Armbar,1,2:18,"July 22, 2017"
4203,win,Junior Albini:Timothy Johnson,1:0,21:19,0:0,0:0,Heavyweight,KO/TKO:Punch,1,2:51,"July 22, 2017"
4204,win,Shane Burgos:Godofredo Pepey,3:0,102:51,1:0,0:0,Featherweight,U-DEC:,3,5:00,"July 22, 2017"
4205,win,Chris Wade:Frankie Perez,0:0,23:22,3:3,2:0,Lightweight,U-DEC:,3,5:00,"July 22, 2017"
4206,win,Murilo Bustamante:Matt Lindland,1:0,17:35,2:0,2:1,Middleweight,SUB:Guillotine Choke,3,1:33,"May 10, 2002"
