,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,date
90,win,Khabib Nurmagomedov:Edson Barboza,0:0,89:25,4:0,0:0,Lightweight,U-DEC:,3,5:00,"December 30, 2017"
91,win,Dan Hooker:Marc Diakiese,0:0,17:24,2:0,1:0,Lightweight,SUB:Guillotine Choke,3,0:42,"December 30, 2017"
92,win,Carla Esparza:Cynthia Calvillo,0:0,48:38,2:1,1:0,Women's Strawweight,U-DEC:,3,5:00,"December 30, 2017"
93,win,Neil Magny:Carlos Condit,0:0,32:37,6:0,0:0,Welterweight,U-DEC:,3,5:00,"December 30, 2017"
94,nc:nc,Khalil Rountree Jr.:Michal Oleksiejczuk,0:0,52:76,0:2,1:0,Light Heavyweight,Overturned:,3,5:00,"December 30, 2017"
95,win,Myles Jury:Ricky Glenn,0:0,41:14,2:0,0:0,Featherweight,U-DEC:,3,5:00,"December 30, 2017"
96,draw:draw,Marvin Vettori:Omari Akhmedov,0:0,66:51,0:0,2:0,Middleweight,M-DEC:,3,5:00,"December 30, 2017"
97,win,Matheus Nicolau:Louis Smolka,3:0,87:49,3:0,2:0,Flyweight,U-DEC:,3,5:00,"December 30, 2017"
98,win,Tim Elliott:Mark De La Rosa,0:0,12:2,1:0,2:0,Bantamweight,SUB:Anaconda Choke,2,1:41,"December 30, 2017"
99,win,Martin Kampmann:Carlos Condit,0:0,26:35,5:3,6:3,Welterweight,S-DEC:,3,5:00,"April 01, 2009"
100,win,Ryan Bader:Carmelo Marrero,0:0,24:9,5:0,2:0,Light Heavyweight,U-DEC:,3,5:00,"April 01, 2009"
101,win,Tyson Griffin:Rafael Dos Anjos,0:0,69:26,1:0,0:3,Lightweight,U-DEC:,3,5:00,"April 01, 2009"
102,win,Cole Miller:Junie Browning,0:0,3:1,0:0,1:0,Lightweight,SUB:Guillotine Choke,1,1:58,"April 01, 2009"
103,win,Gleison Tibau:Jeremy Stephens,0:0,7:23,5:0,3:0,Lightweight,U-DEC:,3,5:00,"April 01, 2009"
104,win,Ricardo Almeida:Matt Horwich,0:0,41:25,9:0,1:3,Middleweight,U-DEC:,3,5:00,"April 01, 2009"
105,win,Brock Larson:Jesse Sanders,0:0,13:0,1:0,1:0,Welterweight,SUB:Rear Naked Choke,1,2:01,"April 01, 2009"
106,win,Tim Credeur:Nick Catone,0:0,9:19,0:3,7:0,Middleweight,SUB:Guillotine Choke,2,3:45,"April 01, 2009"
107,win,Jorge Rivera:Nissen Osterneck,1:0,29:35,4:1,0:1,Middleweight,S-DEC:,3,5:00,"April 01, 2009"
108,win,Rob Kimmons:Joe Vedepo,0:0,7:4,0:1,2:0,Middleweight,SUB:Guillotine Choke,1,1:54,"April 01, 2009"
109,win,Aaron Simpson:Tim McKenzie,1:0,16:1,1:0,0:0,Middleweight,KO/TKO:Punches,1,1:40,"April 01, 2009"
110,win,Frankie Edgar:BJ Penn,0:0,94:36,3:2,0:0,Lightweight,U-DEC:,5,5:00,"August 28, 2010"
111,win,Randy Couture:James Toney,0:0,8:0,1:0,2:0,Heavyweight,SUB:Arm Triangle,1,3:19,"August 28, 2010"
112,win,Demian Maia:Mario Miranda,0:0,30:14,5:0,1:0,Middleweight,U-DEC:,3,5:00,"August 28, 2010"
113,win,Gray Maynard:Kenny Florian,0:0,15:14,5:0,0:0,Lightweight,U-DEC:,3,5:00,"August 28, 2010"
114,win,Nate Diaz:Marcus Davis,0:1,94:52,1:1,1:0,Welterweight,SUB:Guillotine Choke,3,4:02,"August 28, 2010"
115,win,Joe Lauzon:Gabe Ruediger,0:0,19:1,2:0,1:0,Lightweight,SUB:Armbar,1,2:01,"August 28, 2010"
116,win,Nik Lentz:Andre Winner,0:0,23:20,7:0,1:0,Lightweight,U-DEC:,3,5:00,"August 28, 2010"
117,win,Dan Miller:John Salter,0:0,23:21,0:2,2:0,Middleweight,SUB:Guillotine Choke,2,1:53,"August 28, 2010"
118,win,Greg Soto:Nick Osipczak,0:0,70:29,3:0,1:1,Welterweight,U-DEC:,3,5:00,"August 28, 2010"
119,win,Mike Pierce:Amilcar Alves,0:0,31:4,4:0,2:0,Welterweight,SUB:Armbar,3,3:11,"August 28, 2010"
120,win,Frank Mir:Antonio Silva,1:0,10:1,0:0,0:0,Heavyweight,KO/TKO:Punch,1,1:40,"February 22, 2015"
121,win,Michael Johnson:Edson Barboza,0:0,38:31,1:0,0:0,Lightweight,U-DEC:,3,5:00,"February 22, 2015"
122,win,Sam Alvey:Cezar Ferreira,1:0,4:13,0:0,0:0,Middleweight,KO/TKO:Punches,1,3:34,"February 22, 2015"
123,win,Adriano Martins:Rustam Khabilov,0:0,12:18,3:0,0:0,Lightweight,S-DEC:,3,5:00,"February 22, 2015"
124,win,Frankie Saenz:Iuri Alcantara,0:0,44:31,3:2,0:0,Bantamweight,U-DEC:,3,5:00,"February 22, 2015"
125,win,Santiago Ponzinibbio:Sean Strickland,0:0,50:44,1:2,0:0,Welterweight,U-DEC:,3,5:00,"February 22, 2015"
126,win,Marion Reneau:Jessica Andrade,0:1,6:6,0:0,1:0,Women's Bantamweight,SUB:Triangle Choke,1,1:54,"February 22, 2015"
127,win,Matt Dwyer:William Macario,1:0,13:8,0:0,0:0,Welterweight,KO/TKO:Punch,1,3:14,"February 22, 2015"
128,win,Mike de la Torre:Tiago dos Santos e Silva,1:0,16:7,0:0,0:0,Featherweight,KO/TKO:Punch,1,2:59,"February 22, 2015"
129,win,Douglas Silva de Andrade:Cody Gibson,1:0,39:30,0:0,0:0,Bantamweight,U-DEC:,3,5:00,"February 22, 2015"
130,win,Ivan Jorge:Josh Shockley,0:0,25:22,3:0,1:0,Lightweight,U-DEC:,3,5:00,"February 22, 2015"
131,win,Robbie Lawler:Matt Brown,0:0,80:82,2:2,0:0,Welterweight,U-DEC:,5,5:00,"July 26, 2014"
132,win,Anthony Johnson:Rogerio Nogueira,1:0,8:0,0:0,0:0,Light Heavyweight,KO/TKO:Punch,1,0:44,"July 26, 2014"
133,win,Dennis Bermudez:Clay Guida,0:0,47:28,2:0,1:0,Featherweight,SUB:Rear Naked Choke,2,2:57,"July 26, 2014"
134,win,Bobby Green:Josh Thomson,0:0,59:45,0:0,0:0,Lightweight,S-DEC:,3,5:00,"July 26, 2014"
135,win,Jorge Masvidal:Daron Cruickshank,0:1,51:19,2:2,2:1,Lightweight,U-DEC:,3,5:00,"July 26, 2014"
136,win,Patrick Cummins:Kyle Kingsbury,0:0,73:22,10:0,0:0,Light Heavyweight,U-DEC:,3,5:00,"July 26, 2014"
137,win,Tim Means:Hernani Perpetuo,0:0,85:61,1:0,0:0,Welterweight,U-DEC:,3,5:00,"July 26, 2014"
138,nc:nc,Mike de la Torre:Brian Ortega,0:0,6:3,0:1,0:2,Featherweight,Overturned:,1,1:39,"July 26, 2014"
139,win,Tiago dos Santos e Silva:Akbarh Arreola,0:0,62:30,0:2,0:0,Lightweight,U-DEC:,3,5:00,"July 26, 2014"
140,win,Gilbert Burns:Andreas Stahl,0:0,44:41,2:0,0:0,Welterweight,U-DEC:,3,5:00,"July 26, 2014"
141,win,Joanna Jedrzejczyk:Juliana Lima,0:0,46:18,0:1,0:0,Women's Strawweight,U-DEC:,3,5:00,"July 26, 2014"
142,win,Noad Lahat:Steven Siler,0:0,26:35,4:0,2:0,Featherweight,U-DEC:,3,5:00,"July 26, 2014"
143,win,Rafael Dos Anjos:Benson Henderson,1:0,18:10,0:0,0:0,Lightweight,KO/TKO:Punch,1,2:31,"August 23, 2014"
144,win,Jordan Mein:Mike Pyle,1:0,10:2,0:0,0:0,Welterweight,KO/TKO:Punch,1,1:12,"August 23, 2014"
145,win,Thales Leites:Francis Carmont,1:0,18:18,0:0,0:0,Middleweight,KO/TKO:Punch,2,0:20,"August 23, 2014"
146,win,Max Holloway:Clay Collard,0:0,124:70,0:1,0:0,Catch Weight,KO/TKO:Punches,3,3:47,"August 23, 2014"
147,win,James Vick:Valmir Lazaro,1:0,77:91,0:4,0:0,Lightweight,U-DEC:,3,5:00,"August 23, 2014"
148,win,Chas Skelly:Tom Niinimaki,0:0,2:1,1:0,1:1,Featherweight,SUB:Rear Naked Choke,1,2:35,"August 23, 2014"
149,win,Neil Magny:Alex Garcia,0:0,39:5,3:3,0:0,Welterweight,U-DEC:,3,5:00,"August 23, 2014"
150,win,Beneil Dariush:Anthony Rocco Martin,0:0,26:34,2:1,1:0,Lightweight,SUB:Arm Triangle,2,3:38,"August 23, 2014"
151,win,Matt Hobar:Aaron Phillips,0:0,63:38,6:0,0:0,Bantamweight,U-DEC:,3,5:00,"August 23, 2014"
152,win,Ben Saunders:Chris Heatherly,0:0,4:4,0:1,2:0,Welterweight,SUB:Omoplata,1,2:18,"August 23, 2014"
153,win,Wilson Reis:Joby Sanchez,0:1,22:20,9:0,1:0,Flyweight,U-DEC:,3,5:00,"August 23, 2014"
154,win,Dan Henderson:Tim Boetsch,1:0,12:3,0:0,0:0,Middleweight,KO/TKO:Punch,1,0:28,"June 06, 2015"
155,win,Ben Rothwell:Matt Mitrione,0:0,5:8,0:0,1:0,Heavyweight,SUB:Guillotine Choke,1,1:54,"June 06, 2015"
156,win,Dustin Poirier:Yancy Medeiros,2:0,27:6,1:0,1:0,Lightweight,KO/TKO:Punches,1,2:38,"June 06, 2015"
157,win,Brian Ortega:Thiago Tavares,1:0,41:39,0:6,1:0,Featherweight,KO/TKO:Punch,3,4:10,"June 06, 2015"
