set,date,fighter,opponent,result,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
train,2017-03-18,Vicente Luque,Leon Edwards,lose,U-DEC:,-0.0089201372868341,-1.11317985283173,-0.4130698566088652,0.0083374769443095,-0.489469252607137,0.5996574983233504,-0.2426373531443067,0.3911499636364262,1.7984015824490074,0.1670364888699558,1.983649270949349,-0.0997067675050869,-1.2813047241179445,0.3375425304951229,1.1256127714742077,0.0133888384161057,0.021753807207224533,0.021753807207224533,0.021753807207224533,0.021753807207224533
train,2017-03-18,Marc Diakiese,Teemu Packalen,win,KO/TKO:Punch,1.3447602523085116,0.1605915531875396,-0.0182134665218074,0.0083374769443095,0.5668911190290654,0.6347973783265267,-1.118307758449079,-1.4289002042599317,0.0773493298657553,-1.133824161157617,-0.7790598667665616,0.4905449485377203,-0.0544807060184743,1.2836194010959527,0.5539327464558107,0.0133888384161057,0.5915558435526042,0.5915558435526042,0.5915558435526042,0.5915558435526042
test,2017-03-18,Brad Scott,Scott Askham,win,S-DEC:,1.3447602523085116,-0.5512218795879346,-0.4130698566088652,0.0083374769443095,-0.066925103952656,-0.1031401017401767,-0.0742391982780041,0.0079815072371929,0.2846293456878259,-0.4020900455171077,0.4889684957771045,0.4062232748173183,-1.2813047241179445,0.0051371435272638,-0.017747278562586,0.0133888384161057,-0.10359407970296236,-0.10359407970296236,-0.10359407970296236,-0.10359407970296236
test,2017-03-18,Lucie Pudilova,Lina Lansberg,lose,U-DEC:,-0.0089201372868341,0.6850856615484154,-0.4130698566088652,0.0083374769443095,-0.0724848953823203,0.0022795382693523,0.4309552663209032,0.5827341918360428,0.9001881805533684,-1.4590393236645105,0.078543856692923,0.6591882959785219,-0.0544807060184743,0.0051371435272638,-0.017747278562586,-1.0622861915084392,-0.015431700916549574,-0.015431700916549574,-0.015431700916549574,-0.015431700916549574
validation,2018-08-25,James Vick,Justin Gaethje,lose,KO/TKO:Punch,-1.36260052688218,0.0856638234217002,-0.0182134665218074,0.0083374769443095,0.1443469703745844,1.1618955783741722,-0.613113293850172,0.6785263059358511,-2.1147938677676565,-1.7029506955446796,-2.776051394250789,0.4062232748173183,-0.0544807060184743,1.4626069171555691,2.2689728215110008,-2.137961221432984,0.07501053819487133,0.07501053819487133,0.07501053819487133,0.07501053819487133
test,2018-08-25,Andre Fili,Michael Johnson,lose,S-DEC:,-0.0089201372868341,-1.0757159879488103,0.7714993136523081,0.8581379254919198,1.0617125562691812,0.3888182183042922,-0.3773558770373488,0.1995657354368095,-0.2995234261743725,-0.0768748830102142,0.0846695975747766,-0.5213151361070911,-1.2813047241179445,0.2608335950410015,1.1256127714742077,-3.213636251357529,-0.19684379136551253,-0.19684379136551253,-0.19684379136551253,-0.19684379136551253
test,2018-08-25,Angela Hill,Cortney Casey,lose,S-DEC:,-0.0089201372868341,0.347910877602138,-0.0182134665218074,0.0083374769443095,0.1054284303669348,-0.0680002217370004,1.2729460406524151,-0.3751869491620402,0.8499384797480178,0.8174668138837419,0.5992318316504669,0.5748666222581204,-0.0544807060184743,0.1329853692841327,0.5539327464558107,-2.137961221432984,0.028574698450264207,0.028574698450264207,0.028574698450264207,0.028574698450264207
validation,2018-08-25,Jake Ellenberger,Bryan Barberena,lose,KO/TKO:Punch,-2.716280916477526,-0.2889748254074967,-0.0182134665218074,0.0083374769443095,1.0450331819801886,0.775356898339232,1.0708682548128523,0.1037736213370013,-2.190168418975682,-0.7273052080240001,-1.262993396432985,1.3337616857417292,-1.2813047241179445,-0.1738503725323524,-0.017747278562586,2.164738898265196,-0.13112264694697467,-0.13112264694697467,-0.13112264694697467,-0.13112264694697467
validation,2018-08-25,Deiveson Figueiredo,John Moraga,win,KO/TKO:Punch,2.6984406419038574,0.5352302020167365,0.7714993136523081,0.0083374769443095,0.4556952904357809,0.669937258329703,0.430955266320903,0.6785263059358511,0.3034729834898322,0.980074395137189,0.5869803498867602,-0.436993462386691,-0.0544807060184743,0.9767836592794674,-0.017747278562586,0.0133888384161057,0.05065561468299433,0.05065561468299433,0.05065561468299433,0.05065561468299433
test,2018-08-25,Tim Williams,Eryk Anders,lose,KO/TKO:Kick,-2.716280916477526,0.0107360936558608,0.7714993136523081,0.0083374769443095,0.1221078046559275,0.4942378583138214,0.700392314106987,-0.0878106068626153,-0.2241488749663474,-0.7273052080240001,-0.4053896729735003,-0.1840284412254879,-1.2813047241179445,-1.7080290816147794,-0.017747278562586,0.0133888384161057,-0.014361687013306569,-0.014361687013306569,-0.014361687013306569,-0.014361687013306569
validation,2018-08-25,James Krause,Warlley Alves,win,KO/TKO:Flying Knee,-0.0089201372868341,1.1346520401434517,-0.4130698566088652,0.0083374769443095,-0.2281590554129186,-1.1221966218322912,-0.7141521867699535,0.0079815072371929,0.9692815191607254,0.1670364888699558,0.0172864478743886,0.8278316434193235,-0.0544807060184743,-0.1994200176837262,1.1256127714742077,0.0133888384161057,0.019054213394757782,0.019054213394757782,0.019054213394757782,0.019054213394757782
train,2018-08-25,Cory Sandhagen,Iuri Alcantara,win,KO/TKO:Punches,-0.0089201372868341,2.108712527099364,-0.4130698566088652,-1.6912634201509107,-0.4060723811621737,-1.4735954218640546,0.0941589565882984,-0.3751869491620402,2.1313058502844537,-0.0768748830102142,0.8748901713338727,0.5748666222581214,-1.2295415273285626,0.9767836592794674,-0.017747278562586,0.0133888384161057,0.2423623028871449,0.2423623028871449,0.2423623028871449,0.2423623028871449
train,2018-08-25,Andrew Sanchez,Markus Perez,win,U-DEC:,-0.0089201372868341,0.6850856615484154,-0.0182134665218074,0.0083374769443095,0.9671961019648894,0.3888182183042922,0.767751576053508,-0.94993963376089,1.0446560703687509,-0.3207862548903838,0.8503872078064586,-0.1840284412254879,-0.0544807060184743,0.0051371435272638,-0.5894273035809827,2.164738898265196,-0.024149399095101234,-0.024149399095101234,-0.024149399095101234,-0.024149399095101234
train,2018-08-25,Mickey Gall,George Sullivan,win,SUB:Rear Naked Choke,-0.0089201372868341,-0.0267277712270588,0.3766429235652503,0.8581379254919198,-0.089164269671313,0.3536783383011158,-0.0742391982780041,1.1574868764348925,-0.3937416151844048,0.5735554420035722,1.1260455474898643,-0.6899584835478932,1.5844918722333867,0.6443782723116084,-0.017747278562586,-1.0622861915084392,-0.0587078694835993,-0.0587078694835993,-0.0587078694835993,-0.0587078694835993
test,2018-08-25,Joanne Wood,Kalindra Faria,win,SUB:Armbar,-0.0089201372868341,-0.3264386902904164,-0.4130698566088652,1.70793837403953,0.1221078046559275,-0.3842591417655875,1.3066256716256757,-0.2793948350622318,2.8222392363580218,-0.483393836143831,1.904014639485254,0.5748666222581209,0.129628116480974,1.2836194010959527,-0.017747278562586,0.0133888384161057,0.39114875935455223,0.39114875935455223,0.39114875935455223,0.39114875935455223
train,2018-08-25,Jon Tuck,Drew Dober,lose,U-DEC:,-0.0089201372868341,-1.0382521230658903,-0.8079262466959231,0.8581379254919198,-0.1614415582569478,0.564517618320174,-0.1752780911977857,0.8701105341354677,-0.9464883240432592,0.0044289076165091,-0.399263932091647,0.7435099696989225,-1.2813047241179445,-0.1482807273809789,-0.5894273035809827,0.0133888384161057,-0.08864632525549129,-0.08864632525549129,-0.08864632525549129,-0.08864632525549129
test,2018-08-25,Rani Yahya,Luke Sanders,win,SUB:Heel Hook,-0.0089201372868341,0.0481999585387805,-0.0182134665218074,1.70793837403953,1.2173867162997796,0.1076991782788815,-1.6235022230479863,1.6364474469339338,-3.1826000098813534,-1.133824161157617,-1.5937834040530718,-0.0153850937846858,-1.2813047241179445,0.6955175626143559,0.5539327464558107,0.0133888384161057,-0.3487734916082581,-0.3487734916082581,-0.3487734916082581,-0.3487734916082581
train,2018-12-29,Jon Jones,Alexander Gustafsson,win,KO/TKO:Punches,-0.0089201372868341,1.35943522944097,0.3766429235652503,0.0083374769443095,0.1777057189525697,0.1779789382852341,0.3972756353476426,0.0079815072371929,0.1464426684731118,1.3865933482708044,-0.7974370894121215,1.0807966645805267,-0.0544807060184743,0.5932389820088606,6.270732996639778,0.0133888384161057,0.1499269148559393,0.1499269148559393,0.1499269148559393,0.1499269148559393
train,2018-12-29,Amanda Nunes,Cristiane Justino,win,KO/TKO:Punches,2.6984406419038574,0.347910877602138,-0.0182134665218074,0.0083374769443095,1.083951721987838,0.0374194182725287,-0.4110355080106089,0.3911499636364262,-1.8321393007375608,-0.0768748830102142,0.3113220102033544,-0.7742801572682942,-0.0544807060184743,-0.2505593079864738,1.1256127714742077,0.0133888384161057,1.0038671625252513,1.0038671625252513,1.0038671625252513,1.0038671625252513
train,2018-12-29,Michael Chiesa,Carlos Condit,win,SUB:Kimura,-0.0089201372868341,0.1605915531875396,1.5612120938264236,0.0083374769443095,1.5565339935092974,0.2833985782947633,0.7340719450802474,0.0079815072371929,-1.1412059146639926,0.1670364888699554,-0.6075391220746645,-0.0997067675050869,1.6718216268151618,0.4398211111006181,-0.017747278562586,-2.137961221432984,-0.26963714555819,-0.26963714555819,-0.26963714555819,-0.26963714555819
train,2018-12-29,Corey Anderson,Ilir Latifi,win,U-DEC:,-0.0089201372868341,0.235519282953379,-0.0182134665218074,0.0083374769443095,1.5342948277906403,0.4942378583138214,-0.5794336628769114,-0.2793948350622319,1.5534342910229235,0.3296440701234025,-0.3196293006275518,0.2375799273765163,-0.0544807060184743,-0.0715717919268572,-0.017747278562586,0.0133888384161057,0.031118409527827132,0.031118409527827132,0.031118409527827132,0.031118409527827132
validation,2018-12-29,Alexander Volkanovski,Chad Mendes,win,KO/TKO:Punches,-0.0089201372868341,0.9473327157288532,-1.2027826367829808,0.0083374769443095,-1.345677132775427,-0.6653781817909987,-0.9162299726095162,-0.0878106068626152,2.495616181123244,0.6548592326302951,0.7278723901693895,-0.6056368098274931,-0.0544807060184743,0.7977961432198512,2.2689728215110008,0.0133888384161057,0.41224971992100407,0.41224971992100407,0.41224971992100407,0.41224971992100407
train,2018-12-29,Megan Anderson,Cat Zingano,win,KO/TKO:Kick,-0.0089201372868341,-0.0267277712270588,-0.0182134665218074,0.0083374769443095,-1.2511606784711355,-1.403315661857702,0.3635960043743823,-0.2793948350622319,-0.5319282923991184,-1.21512795178434,1.058662397789477,-0.8586018309886952,-1.2813047241179445,-1.273345114041425,-0.5894273035809827,1.0890638683406508,0.07967889192211937,0.07967889192211937,0.07967889192211937,0.07967889192211937
train,2018-12-29,Douglas Silva de Andrade,Petr Yan,lose,KO/TKO:,-0.0089201372868341,-1.824993285607204,-1.2027826367829808,-0.8414629716033006,-0.6562629954970638,-0.2085597417497059,-0.7141521867699535,0.0079815072371929,-1.0909562138586415,-1.133824161157617,0.0050349661106814,-0.1840284412254879,0.129628116480974,-1.0176486625276873,-0.5894273035809827,0.0133888384161057,-0.2012056694687781,-0.2012056694687781,-0.2012056694687781,-0.2012056694687781
train,2018-12-29,BJ Penn,Ryan Hall,lose,SUB:Heel Hook,-0.0089201372868341,-0.1391193658758179,-0.0182134665218074,-0.8414629716033006,0.5390921618807443,1.6187140184154651,2.4854127556897927,-1.6204844324595484,0.2155360070804688,-0.1581786736369375,1.1505485110172784,-0.7742801572682942,-1.2813047241179445,-1.2222058237386777,-1.1611073285993796,5.39176398803883,-0.07623221459807547,-0.07623221459807547,-0.07623221459807547,-0.07623221459807547
