,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
9777,Tom Niinimaki,22,8.0,1,175.26,65.25,175.26,Orthodox,40,1.91,0.54,2.31,0.58,2.97,0.46,0.33,0.5
9778,Yasuhito Namekawa,25,1.0,-4,175.26,92.25,179.56,Orthodox,48,0.14,0.5,3.65,0.38,2.11,0.25,0.0,4.2
9779,Danny Navarro,17,7.0,0,177.8,69.75,182.16,Orthodox,39,3.83,0.32,4.62,0.57,2.17,0.25,1.0,0.0
9780,Phillipe Nover,11,8.0,1,175.26,65.25,182.88,Orthodox,38,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7
9781,Keita Nakamura,34,1.0,-2,180.34,76.5,185.42000000000002,Southpaw,38,2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3
9782,Soichi Nishida,5,0.0,0-1,180.34,144.0,184.77,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9783,Josiane Nunes,9,0.0,-0,157.48,65.25,170.18,Southpaw,29,7.54,0.42,4.37,0.52,0.0,0.0,0.7,0.0
9784,Steven Nguyen,8,0.0,-0,180.34,65.25,185.42000000000002,Switch,29,7.36,0.43,7.47,0.56,0.0,0.0,0.77,0.0
9785,Ismail Naurdiev,19,4.0,0,177.8,76.5,187.96,Orthodox,26,3.17,0.52,1.3,0.68,1.25,0.71,0.7,0.2
9786,Tafon Nchukwi,6,0.0,-0,182.88,92.25,195.58,Orthodox,28,6.05,0.52,4.03,0.55,0.94,0.57,0.71,0.0
9787,Shohei Nose,9,0.0,-2,167.64,60.75,172.72,Switch,25,4.93,0.5,0.82,0.66,0.0,0.0,0.0,0.0
9788,Anthony Njokuani,16,1.0,-0,185.42,69.75,190.5,Orthodox,42,3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2
9789,Akiyo Nishiura,13,8.0,1,172.72,62.550000000000004,176.96,Southpaw,39,1.59,0.57,1.26,0.57,0.0,0.0,0.52,0.3
9790,Tyson Nam,21,1.0,-1,170.18,56.25,172.72,Orthodox,39,3.68,0.32,5.66,0.64,0.0,0.0,1.0,0.0
9791,Kyle Noke,22,1.0,-1,185.42,76.5,193.04,Southpaw,42,3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8
9792,Rogerio Nogueira,23,1.0,-0,187.96,92.25,190.5,Southpaw,46,2.43,0.35,2.34,0.59,0.64,0.44,0.62,0.8
9793,Nasrudin Nasrudinov,9,0.0,-0,182.88,92.25,180.34,Orthodox,31,1.03,0.87,0.29,0.75,2.2,0.5,0.4,0.0
9794,Nad Narimani,12,4.0,0,172.72,65.25,177.8,Orthodox,35,3.33,0.42,3.0,0.58,1.92,0.41,0.7,0.0
9795,Journey Newson,10,3.0,0,165.1,60.75,170.18,Orthodox,33,3.26,0.36,2.62,0.64,0.96,0.5,0.0,0.5
9796,Andrews Nakahara,5,0.0,-2,185.42,83.25,189.97,Orthodox,39,2.68,0.44,1.9,0.57,0.0,0.0,0.72,0.4
9797,Yukiya Naito,15,6.0,2,185.42,92.25,189.97,Orthodox,37.31,1.54,0.33,5.13,0.6,0.0,0.0,0.0,0.0
9798,Yamato Nishikawa,21,3.0,6,170.18,69.75,174.36,Orthodox,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9799,Bobby Nash,8,0.0,-0,182.88,76.5,187.96,Orthodox,32,3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6
9800,Amanda Nunes,22,5.0,0,172.72,60.75,175.26,Orthodox,34,4.4,0.51,2.75,0.55,2.61,0.56,0.82,0.8
